time,angle_roll,angle_roll_filtrada,analogRule,analogRule_filtrada
5194,0.10515399999999997,,4095.0,
5250,0.0,,4095.0,
5312,0.14390100000000006,,4095.0,
5368,0.013395000000000046,,4095.0,
5414,0.09087500000000004,,4095.0,
5471,0.14377700000000004,,4095.0,
5528,0.026554999999999995,,4095.0,
5579,0.03831899999999999,,4095.0,
5635,0.077874,,4095.0,
5692,0.143436,,4095.0,
5747,0.06545900000000004,,4095.0,
5809,0.10486399999999996,,4095.0,
5861,0.11791499999999999,,4095.0,
5914,0.11805299999999996,,4095.0,
5973,0.10442399999999996,,4095.0,
6026,0.013746000000000036,,4095.0,
6083,0.027074000000000042,,4095.0,
6143,0.10456600000000005,,4095.0,
6192,0.11904199999999998,,4095.0,
6247,0.13108300000000006,,4095.0,
6302,0.025480000000000058,,4095.0,
6359,0.01183500000000004,,4095.0,
6413,0.11901700000000004,,4095.0,
6469,0.051543000000000005,,4095.0,
6527,0.17099799999999998,,4095.0,
6580,0.144057,,4095.0,
6636,0.07831699999999997,,4095.0,
6694,0.09153,,4095.0,
6753,0.07913300000000001,,4095.0,
6804,0.04019600000000001,,4095.0,
6858,0.17045299999999997,,4095.0,
6914,0.14415699999999998,,4095.0,
6973,0.026036999999999977,,4095.0,
7025,0.13113799999999998,,4095.0,
7079,0.06432199999999999,,4095.0,
7133,0.012098000000000053,,4095.0,
7187,0.10572599999999999,,4095.0,
7243,0.040483999999999964,,4095.0,
7316,0.03786400000000001,,4095.0,
7351,0.07947099999999996,,4095.0,
7407,0.053477,,4095.0,
7462,0.07901999999999998,,4095.0,
7524,0.026567000000000007,,4095.0,
7678,0.10502500000000003,,4095.0,
7690,0.027635999999999994,,4095.0,
7794,0.18350200000000005,,4095.0,
7896,0.19561100000000003,,4095.0,
8081,0.11882499999999996,,4095.0,
8098,0.10594199999999998,,4095.0,
8153,0.09227600000000002,,4095.0,
8211,0.17073300000000002,0.10716607095847908,4095.0,4095.0
8266,0.065604,0.10778374386109248,4095.0,4095.0
8319,0.209681,0.10864707392173541,4095.0,4095.0
8376,0.10435700000000003,0.10924308598094756,4095.0,4095.0
8430,0.052173000000000025,0.10990211614119534,4095.0,4095.0
8484,0.289047,0.11041729227210689,4095.0,4095.0
8552,0.0017920000000000158,0.11089002218755525,4095.0,4095.0
8600,0.05311900000000003,0.111438370421353,4095.0,4095.0
8654,0.25000300000000003,0.11192360090643179,4095.0,4095.0
8707,0.158937,0.11237193454360439,4095.0,4095.0
8761,0.117112,0.11269755149058278,4095.0,4095.0
8816,0.15677600000000003,0.1131435816454667,4095.0,4095.0
8875,0.10653299999999999,0.11345348941782057,4095.0,4095.0
8930,0.17086500000000004,0.11398829904768472,4095.0,4095.0
8984,0.09207299999999996,0.11450672835178705,4095.0,4095.0
9038,0.13129599999999997,0.1150716534069188,4095.0,4095.0
9091,0.28973,0.11541736859166299,4095.0,4095.0
9146,0.053095,0.11599836299763958,4095.0,4095.0
9204,0.0262,0.11620174219516882,4095.0,4095.0
9258,0.15743300000000005,0.11646010969914795,4095.0,4095.0
9319,0.10492599999999996,0.1166933231099263,4095.0,4095.0
9368,0.06533500000000003,0.11706965147359093,4095.0,4095.0
9423,0.223541,0.11741022413767549,4095.0,4095.0
9478,0.052576999999999985,0.11764037963054556,4095.0,4095.0
9532,0.09118099999999996,0.11798056567464912,4095.0,4095.0
9588,0.10488900000000001,0.11812448408476166,4095.0,4095.0
9649,0.0007659999999999334,0.11843314505245005,4095.0,4095.0
9702,0.09115700000000004,0.11866993423436191,4095.0,4095.0
9755,0.0021539999999999893,0.11907340318241424,4095.0,4095.0
9808,0.10672599999999999,0.11943945418440374,4095.0,4095.0
9862,0.14344400000000002,0.12000990564721711,4095.0,4095.0
9917,0.11709500000000006,0.12029158628658122,4095.0,4095.0
9974,0.03951099999999996,0.1207296899542812,4095.0,4095.0
10032,0.26201800000000003,0.121324938862192,4095.0,4095.0
10085,0.14446000000000003,0.12192234186884769,4095.0,4095.0
10139,0.06748900000000002,0.12251286274375825,4095.0,4095.0
10193,0.315713,0.12322092925233893,4095.0,4095.0
10250,0.06528999999999996,0.12388744089940978,4095.0,4095.0
10308,0.11772099999999996,0.12447277311113407,4095.0,4095.0
10369,0.15840500000000002,0.12525444523606424,4095.0,4095.0
10417,0.05172600000000005,0.12602973366648,4095.0,4095.0
10474,0.302893,0.1268823761096486,4095.0,4095.0
10529,0.17010599999999998,0.1276043265909241,4095.0,4095.0
10596,0.09190799999999999,0.1287334133401726,4095.0,4095.0
10722,0.10521800000000003,0.1296760217462695,4095.0,4095.0
10754,0.13160899999999998,0.13093842315222762,4095.0,4095.0
10812,0.18458400000000003,0.13183759896721053,4095.0,4095.0
10863,0.025509000000000004,0.13281628288543101,4095.0,4095.0
10921,0.09234500000000001,0.13397012601987074,4095.0,4095.0
10982,0.03858000000000006,0.1351518983629001,4095.0,4095.0
11032,0.02743899999999999,0.13649410546716492,4095.0,4095.0
11084,0.23662500000000003,0.13774565334959746,4095.0,4095.0
11138,0.07921999999999996,0.13905786131784606,4095.0,4095.0
11192,0.05379800000000001,0.14033819768413952,4095.0,4095.0
11247,0.0007469999999999422,0.1417324081006344,4095.0,4095.0
11302,0.039578,0.1431294224240965,4095.0,4095.0
11361,0.052759,0.14443784813507196,4095.0,4095.0
11414,0.03848499999999999,0.14599407850385301,4095.0,4095.0
11468,0.07995799999999997,0.1474917780188986,4095.0,4095.0
11524,0.040356999999999976,0.14876621702057735,4095.0,4095.0
11579,0.14549599999999996,0.15018028087435029,4095.0,4095.0
11635,0.06444800000000006,0.15160216197476242,4095.0,4095.0
11694,0.369824,0.15288347141909941,4095.0,4095.0
11749,0.35374300000000003,0.1541615605555875,4095.0,4095.0
11801,0.3948259999999999,0.1553784275729362,4095.0,4095.0
11856,0.06410499999999997,0.15660181620507158,4095.0,4095.0
11925,0.381652,0.15776850452769245,4095.0,4095.0
11979,0.026398000000000033,0.15865752288872947,4095.0,4095.0
12023,0.13196200000000002,0.15984713786370844,4095.0,4095.0
12082,0.130228,0.16087879977164948,4095.0,4095.0
12133,0.210287,0.1616104792879161,4095.0,4095.0
12189,0.17079900000000003,0.16233179274744045,4095.0,4095.0
12245,0.15707800000000005,0.16291100047396223,4095.0,4095.0
12304,0.22243800000000002,0.16324275757975698,4095.0,4095.0
12354,0.10664399999999996,0.16368276289679579,4095.0,4095.0
12410,0.26360500000000003,0.16394615409893368,4095.0,4095.0
12465,0.10311300000000001,0.1640421534233935,4095.0,4095.0
12520,0.303172,0.16405694711468052,4095.0,4095.0
12575,0.22242300000000004,0.1639876806876083,4095.0,4095.0
12630,0.39542,0.1636735671495472,4095.0,4095.0
12685,0.14378400000000002,0.1631394745236538,4095.0,4095.0
12744,0.26393300000000003,0.162534888468929,4095.0,4095.0
12797,0.288877,0.1617290661408969,4095.0,4095.0
