angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
2.21,0.68,-77.65,-23.89,0,62758
2.20,1.04,-77.64,-36.54,0,62768
2.22,1.26,-77.60,-44.36,0,62778
2.26,1.42,-77.62,-49.69,0,62788
2.26,1.54,-77.56,-53.53,0,62798
2.25,1.62,-77.54,-56.44,0,62808
2.24,1.69,-77.57,-58.73,0,62818
2.26,1.74,-77.57,-60.57,0,62828
2.28,1.79,-77.58,-62.08,0,62838
2.23,1.83,-77.56,-63.35,0,62848
2.18,1.85,-77.54,-64.42,0,62858
2.16,1.88,-77.56,-65.34,0,62868
2.20,1.91,-77.57,-66.85,0,62878
2.20,1.93,-77.56,-67.48,0,62888
2.19,1.94,-77.57,-68.03,0,62898
2.19,1.96,-77.60,-68.53,0,62908
2.19,1.98,-77.64,-69.39,0,62918
2.20,1.99,-77.69,-69.76,0,62928
2.20,2.00,-77.72,-70.11,0,62938
2.19,2.01,-77.76,-70.43,0,62948
2.23,2.02,-77.69,-70.98,0,62958
2.21,2.03,-77.70,-71.23,0,62968
2.17,2.03,-77.76,-71.46,0,62978
2.15,2.04,-77.70,-71.68,0,62988
2.11,2.04,-77.62,-72.06,0,62998
2.11,2.04,-77.63,-72.24,0,63008
2.15,2.05,-77.62,-72.40,0,63018
2.19,2.05,-77.58,-72.55,0,63028
2.18,2.06,-77.61,-72.83,0,63038
2.16,2.06,-77.63,-72.96,0,63048
2.16,2.06,-77.69,-73.09,0,63058
2.16,2.06,-77.70,-73.21,0,63068
2.20,2.07,-77.76,-73.43,0,63078
2.23,2.07,-77.74,-73.54,0,63088
2.25,2.08,-77.70,-73.63,0,63098
2.23,2.08,-77.67,-73.73,0,63108
2.20,2.09,-77.64,-73.90,0,63118
2.22,2.09,-77.65,-73.98,0,63128
2.20,2.09,-77.64,-74.06,0,63138
2.15,2.09,-77.66,-74.13,0,63148
2.15,2.09,-77.70,-74.27,0,63158
2.15,2.09,-77.67,-74.34,0,63168
2.19,2.10,-77.60,-74.40,0,63178
2.22,2.10,-77.64,-74.46,0,63188
2.21,2.10,-77.61,-74.58,0,63198
2.18,2.10,-77.64,-74.63,0,63208
2.19,2.10,-77.66,-74.69,0,63218
2.20,2.11,-77.66,-74.74,0,63228
2.19,2.11,-77.74,-74.84,0,63238
2.16,2.11,-77.68,-74.89,0,63248
2.19,2.11,-77.59,-74.93,0,63258
2.19,2.11,-77.60,-74.97,0,63268
2.12,2.11,-77.67,-75.25,0,63278
2.21,2.11,-77.64,-75.38,0,63288
2.18,2.12,-77.63,-75.41,0,63298
2.19,2.12,-77.59,-75.44,0,63308
2.12,2.12,-77.58,-75.66,0,63318
2.14,2.12,-77.53,-75.75,0,63328
2.14,2.12,-77.55,-75.77,0,63338
2.16,2.12,-77.56,-75.79,0,63348
2.21,2.12,-77.52,-75.91,0,63358
2.19,2.13,-77.64,-76.02,0,63368
2.18,2.13,-77.64,-76.03,0,63378
2.18,2.13,-77.62,-76.05,0,63388
2.18,2.13,-77.71,-76.14,0,63398
2.16,2.13,-77.75,-76.24,0,63408
2.11,2.13,-77.71,-76.25,0,63418
2.12,2.13,-77.64,-76.26,0,63428
2.16,2.13,-77.60,-76.34,0,63438
2.21,2.13,-77.63,-76.42,0,63448
2.25,2.13,-77.70,-76.43,0,63458
2.23,2.13,-77.67,-76.44,0,63468
