angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.69,7.66,-72.56,-72.45,3952,437090
7.73,7.66,-72.56,-72.45,3975,437092
7.71,7.66,-72.56,-72.45,3917,437094
7.70,7.66,-72.54,-72.45,4095,437106
7.68,7.66,-72.53,-72.45,3916,437108
7.68,7.65,-72.58,-72.45,3824,437109
7.66,7.65,-72.55,-72.45,4095,437110
7.71,7.65,-72.52,-72.46,3929,437111
7.72,7.65,-72.46,-72.45,3904,437123
7.73,7.65,-72.49,-72.45,3895,437125
7.78,7.65,-72.48,-72.45,4095,437126
7.79,7.65,-72.47,-72.45,3920,437127
7.77,7.66,-72.53,-72.45,3911,437130
7.79,7.66,-72.56,-72.46,3881,437131
7.79,7.66,-72.53,-72.46,3871,437142
7.76,7.66,-72.54,-72.46,3907,437146
7.76,7.66,-72.53,-72.46,3909,437147
7.72,7.66,-72.58,-72.46,3831,437149
7.70,7.66,-72.51,-72.46,4095,437151
7.69,7.66,-72.48,-72.46,3932,437154
7.70,7.66,-72.49,-72.46,3888,437156
7.70,7.66,-72.53,-72.46,3859,437158
7.69,7.66,-72.57,-72.46,3935,437160
7.67,7.66,-72.50,-72.46,3846,437171
7.68,7.66,-72.48,-72.46,3933,437175
7.68,7.66,-72.45,-72.46,3943,437177
7.67,7.66,-72.42,-72.46,3902,437179
7.66,7.66,-72.39,-72.46,3878,437181
7.68,7.66,-72.37,-72.46,3901,437182
7.68,7.66,-72.38,-72.46,4035,437183
7.64,7.65,-72.41,-72.45,3921,437184
7.64,7.65,-72.47,-72.45,3906,437196
7.62,7.65,-72.52,-72.45,3937,437197
7.61,7.65,-72.55,-72.46,4063,437198
7.63,7.65,-72.53,-72.46,3889,437199
7.68,7.65,-72.48,-72.46,3853,437201
7.65,7.65,-72.46,-72.46,3876,437212
7.65,7.65,-72.53,-72.46,3984,437213
7.65,7.65,-72.56,-72.46,4017,437214
7.65,7.65,-72.51,-72.46,3700,437215
7.68,7.65,-72.52,-72.46,3926,437218
7.68,7.65,-72.51,-72.46,3903,437222
7.69,7.65,-72.49,-72.46,3920,437233
7.70,7.65,-72.49,-72.46,4014,437234
7.63,7.65,-72.55,-72.46,3813,437235
7.65,7.65,-72.60,-72.46,3870,437236
7.65,7.65,-72.60,-72.46,3921,437237
7.66,7.65,-72.53,-72.46,3906,437249
7.68,7.65,-72.52,-72.46,3829,437250
7.69,7.65,-72.57,-72.46,3887,437251
7.71,7.65,-72.62,-72.46,4026,437252
7.68,7.65,-72.57,-72.46,3903,437254
7.68,7.65,-72.57,-72.46,3455,437258
7.68,7.65,-72.56,-72.46,3921,437259
7.68,7.65,-72.56,-72.46,3937,437271
7.68,7.65,-72.59,-72.46,3856,437273
7.62,7.65,-72.52,-72.46,3862,437274
7.59,7.65,-72.54,-72.46,3845,437275
7.58,7.65,-72.57,-72.46,3953,437276
7.57,7.65,-72.61,-72.46,3866,437287
7.61,7.65,-72.56,-72.46,3909,437289
7.64,7.65,-72.60,-72.46,3843,437292
7.64,7.65,-72.59,-72.46,3823,437293
7.62,7.65,-72.59,-72.47,3923,437295
7.71,7.64,-72.54,-72.47,3871,437296
7.71,7.64,-72.55,-72.47,3946,437297
7.73,7.64,-72.55,-72.47,3888,437310
7.71,7.64,-72.51,-72.47,4095,437313
7.70,7.64,-72.52,-72.47,3807,437314
7.69,7.64,-72.49,-72.47,3914,437315
7.70,7.64,-72.48,-72.47,4011,437316
7.69,7.65,-72.48,-72.47,3664,437317
7.69,7.65,-72.45,-72.47,3639,437328
7.69,7.65,-72.48,-72.47,3915,437330
7.72,7.65,-72.50,-72.47,3866,437335
7.70,7.65,-72.48,-72.47,3791,437336
7.72,7.65,-72.45,-72.47,3952,437337
7.70,7.65,-72.44,-72.46,3927,437338
7.70,7.65,-72.42,-72.46,3965,437340
7.70,7.65,-72.44,-72.46,3923,437352
7.74,7.65,-72.41,-72.46,4058,437354
7.71,7.65,-72.43,-72.46,3957,437355
7.70,7.65,-72.46,-72.46,3898,437357
7.72,7.65,-72.49,-72.46,3895,437358
7.70,7.65,-72.51,-72.46,3983,437359
7.73,7.65,-72.45,-72.46,3856,437370
7.72,7.65,-72.43,-72.46,3904,437373
7.76,7.65,-72.44,-72.46,3978,437374
7.75,7.65,-72.45,-72.46,3864,437375
7.74,7.65,-72.47,-72.46,3888,437376
7.72,7.65,-72.49,-72.46,3800,437381
7.70,7.65,-72.49,-72.46,3700,437383
7.70,7.65,-72.47,-72.46,3893,437385
7.71,7.65,-72.46,-72.46,3886,437398
7.73,7.65,-72.45,-72.46,3918,437400
7.78,7.65,-72.46,-72.46,3674,437401
7.75,7.65,-72.49,-72.46,3866,437403
7.74,7.65,-72.45,-72.46,3859,437405
7.78,7.65,-72.35,-72.46,3908,437406
7.74,7.65,-72.39,-72.46,3939,437407
7.74,7.65,-72.40,-72.46,4061,437420
7.72,7.65,-72.43,-72.46,3696,437421
7.73,7.65,-72.44,-72.46,3995,437422
7.71,7.65,-72.44,-72.46,3917,437424
7.68,7.65,-72.46,-72.45,4005,437427
7.67,7.65,-72.48,-72.45,3839,437429
7.66,7.65,-72.47,-72.45,3973,437430
7.69,7.65,-72.46,-72.45,4095,437443
7.70,7.65,-72.47,-72.45,4095,437445
7.70,7.65,-72.45,-72.45,3952,437446
7.69,7.65,-72.49,-72.45,3968,437448
7.69,7.65,-72.50,-72.45,3856,437449
7.68,7.65,-72.45,-72.45,3882,437451
7.69,7.65,-72.48,-72.45,3904,437462
7.69,7.65,-72.43,-72.45,3829,437466
7.70,7.65,-72.48,-72.45,3805,437468
7.71,7.65,-72.46,-72.45,3851,437470
7.72,7.65,-72.48,-72.45,3873,437473
7.71,7.65,-72.48,-72.45,4002,437474
7.67,7.65,-72.46,-72.45,3920,437475
7.67,7.65,-72.46,-72.45,3930,437477
7.71,7.65,-72.41,-72.45,4038,437478
7.72,7.65,-72.43,-72.45,3847,437491
7.69,7.65,-72.46,-72.45,3931,437492
7.70,7.65,-72.46,-72.45,3711,437493
7.69,7.65,-72.47,-72.45,3697,437494
7.64,7.65,-72.55,-72.45,3856,437495
7.64,7.65,-72.54,-72.45,3952,437498
7.62,7.65,-72.52,-72.45,3888,437509
7.64,7.65,-72.48,-72.45,3922,437511
7.66,7.65,-72.46,-72.45,3856,437512
7.70,7.65,-72.49,-72.45,4000,437513
7.70,7.65,-72.50,-72.45,3952,437516
7.70,7.65,-72.50,-72.45,4037,437517
7.70,7.65,-72.46,-72.45,3847,437530
7.74,7.65,-72.44,-72.45,3817,437531
7.72,7.65,-72.46,-72.45,3919,437532
7.73,7.65,-72.43,-72.45,3827,437533
7.72,7.65,-72.51,-72.45,3895,437534
7.73,7.65,-72.51,-72.45,3818,437545
7.74,7.65,-72.55,-72.45,3551,437547
7.77,7.65,-72.54,-72.45,3792,437549
7.78,7.65,-72.50,-72.45,3894,437550
7.73,7.65,-72.51,-72.45,3731,437551
7.76,7.65,-72.47,-72.45,3921,437552
7.73,7.65,-72.50,-72.45,3853,437564
7.77,7.65,-72.50,-72.45,3931,437565
7.71,7.65,-72.49,-72.45,3885,437568
7.72,7.65,-72.51,-72.45,3947,437569
7.72,7.65,-72.52,-72.46,3906,437570
7.72,7.65,-72.46,-72.46,3871,437571
7.70,7.65,-72.45,-72.45,3914,437582
7.72,7.65,-72.42,-72.45,3978,437584
7.74,7.65,-72.39,-72.45,3921,437585
7.75,7.65,-72.36,-72.45,3938,437586
7.72,7.65,-72.40,-72.45,3883,437587
7.65,7.65,-72.41,-72.45,3951,437599
7.64,7.65,-72.39,-72.45,3952,437600
7.66,7.65,-72.44,-72.45,3865,437601
7.69,7.65,-72.43,-72.45,3901,437602
7.72,7.65,-72.38,-72.45,3949,437613
7.73,7.65,-72.39,-72.45,4047,437615
7.77,7.65,-72.43,-72.45,3904,437619
7.74,7.65,-72.44,-72.45,3760,437620
7.71,7.65,-72.46,-72.45,3935,437621
7.71,7.65,-72.45,-72.45,3955,437623
7.69,7.65,-72.46,-72.45,3951,437624
7.70,7.65,-72.50,-72.45,3893,437635
7.68,7.65,-72.51,-72.45,3827,437637
7.64,7.65,-72.51,-72.45,3957,437638
7.66,7.65,-72.50,-72.45,3872,437639
7.67,7.65,-72.51,-72.45,3871,437640
7.67,7.65,-72.49,-72.45,3959,437652
7.67,7.65,-72.50,-72.45,3893,437653
7.70,7.65,-72.57,-72.45,4095,437655
7.68,7.65,-72.60,-72.45,3779,437656
7.68,7.65,-72.56,-72.45,3895,437657
7.66,7.65,-72.48,-72.45,3907,437658
7.68,7.65,-72.49,-72.45,3935,437671
7.69,7.65,-72.51,-72.45,4095,437673
7.69,7.65,-72.49,-72.45,3813,437674
7.65,7.65,-72.49,-72.45,3930,437677
7.64,7.65,-72.53,-72.45,3920,437678
7.62,7.65,-72.53,-72.45,3958,437679
7.62,7.65,-72.48,-72.45,3934,437680
7.62,7.65,-72.47,-72.45,3915,437692
7.66,7.65,-72.46,-72.45,3792,437694
7.65,7.65,-72.47,-72.45,3790,437697
7.64,7.65,-72.49,-72.45,4042,437698
7.68,7.65,-72.46,-72.45,3871,437700
7.68,7.65,-72.41,-72.45,3863,437701
7.68,7.65,-72.44,-72.45,4029,437712
7.70,7.65,-72.47,-72.45,3990,437713
7.67,7.65,-72.56,-72.45,3568,437716
7.70,7.65,-72.58,-72.45,4020,437718
7.70,7.65,-72.60,-72.45,3945,437719
7.71,7.65,-72.57,-72.45,3927,437720
7.71,7.65,-72.56,-72.45,4021,437732
7.68,7.65,-72.56,-72.46,3972,437734
7.67,7.65,-72.55,-72.46,3487,437735
7.65,7.65,-72.53,-72.46,3841,437738
7.66,7.65,-72.52,-72.46,3841,437740
7.73,7.65,-72.49,-72.46,3911,437741
7.71,7.65,-72.47,-72.46,4095,437743
