time,Forca (N),Deslocamento (mm)
65308,2.238356,0.0
65318,2.238356,0.0
65328,2.238356,0.0
65338,2.238356,0.0
65348,2.238356,0.0
65358,2.238356,0.0
65368,2.238356,0.0
65378,2.238356,0.0
65388,2.238356,0.0
65398,2.238356,0.0
65408,2.238356,0.0
65418,2.238356,0.0
65428,2.238356,0.0
65438,2.238356,0.0
65448,2.238356,0.0
65458,2.238356,0.0
65468,2.238356,0.0
65478,2.238356,0.0
65488,2.238356,0.0
65498,2.238356,0.0
65508,2.238356,0.0
65518,2.238356,0.0
65528,2.238356,0.0
65538,2.238356,0.0
65548,2.238356,0.0
65558,2.238356,0.0
65568,2.2279929999999997,0.0
65578,2.2279929999999997,0.0
65588,2.238356,0.0
65598,2.238356,0.0
65608,2.238356,0.0
65618,2.238356,0.0
65628,2.238356,0.0
65638,2.238356,0.0
65648,2.238356,0.0
65658,2.238356,0.0
65668,2.238356,0.0
65678,2.238356,0.0
65688,2.238356,0.0
65698,2.2279929999999997,0.0
65708,2.2279929999999997,0.0
65718,2.2279929999999997,0.0
65728,2.2279929999999997,0.0
65738,2.238356,0.0
65748,2.238356,0.0
65758,2.238356,0.0
65768,2.238356,0.0
65778,2.238356,0.0
65788,2.238356,0.0
65798,2.238356,0.0
65808,2.238356,0.0
65818,2.238356,0.0
65828,2.238356,0.0
65838,2.238356,0.0
65848,2.238356,0.0
65858,2.238356,0.0
65868,2.238356,0.0
65878,2.2279929999999997,0.0
65888,2.238356,0.0
65898,2.238356,0.0
65908,2.238356,0.0
65918,2.238356,0.0
65928,2.238356,0.0
65938,2.238356,0.0
65948,2.238356,0.0
65958,2.238356,0.0
65968,2.238356,0.0
65978,2.238356,0.0
65988,2.238356,0.0
65998,2.238356,0.0
66008,2.238356,0.0
66018,2.238356,0.0
66028,2.238356,0.0
66038,2.238356,0.0
66048,2.238356,0.0
66058,2.238356,0.0
66068,2.238356,0.0
66078,2.238356,0.0
66088,2.238356,0.0
66098,2.238356,0.0
66108,2.2279929999999997,0.0
66118,2.238356,0.0
66128,2.238356,0.0
66138,2.2279929999999997,0.0
66148,2.2279929999999997,0.0
66158,2.2279929999999997,0.0
66168,2.2279929999999997,0.0
66178,2.2279929999999997,0.0
66188,2.2279929999999997,0.0
66198,2.2279929999999997,0.0
66208,2.2279929999999997,0.0
66218,2.238356,0.0
66228,2.2279929999999997,0.0
66238,2.238356,0.0
66248,2.238356,0.0
66258,2.238356,0.0
66268,2.238356,0.0
66278,2.238356,0.0
66288,2.238356,0.0
66298,2.238356,0.0
66308,2.2279929999999997,0.0
66318,2.2279929999999997,0.0
66328,2.2279929999999997,0.0
66338,2.238356,0.0
66348,2.238356,0.0
66358,2.238356,0.0
66368,2.238356,0.0
66378,2.238356,0.0
66388,2.238356,0.0
66398,2.238356,0.0
66408,2.238356,0.0
66418,2.238356,0.0
66428,2.238356,0.0
66438,2.238356,0.0
66448,2.238356,0.0
66458,2.238356,0.0
66468,2.238356,0.0
66478,2.238356,0.0
66488,2.238356,0.0
66498,2.248719,0.0
66508,2.248719,0.0
66518,2.248719,0.0
66528,2.248719,0.0
66538,2.248719,0.0
66548,2.248719,0.0
66558,2.248719,0.0
66568,2.248719,0.0
66578,2.248719,0.0
66588,2.248719,0.0
66598,2.248719,0.0
66608,2.248719,0.0
66618,2.248719,0.0
66628,2.248719,0.0
66638,2.248719,0.0
66648,2.248719,0.0
66658,2.238356,0.0
66668,2.238356,0.0
66678,2.238356,0.0
66688,2.238356,0.0
66698,2.238356,0.0
66708,2.238356,0.0
66718,2.238356,0.0
66728,2.238356,0.0
66738,2.238356,0.0
66748,2.238356,0.0
66758,2.238356,0.0
66768,2.238356,0.0
66778,2.238356,0.0
66788,2.238356,0.0
66798,2.238356,0.0
66808,2.238356,0.0
66818,2.238356,0.0
66828,2.238356,0.0
66838,2.238356,0.0
66848,2.238356,0.0
66858,2.238356,0.0
66868,2.238356,0.0
66878,2.238356,0.0
66888,2.238356,0.0
66898,2.238356,0.0
66908,2.238356,0.0
66918,2.238356,0.0
66928,2.238356,0.0
66938,2.238356,0.0
66948,2.238356,0.0
66958,2.238356,0.0
66968,2.238356,0.0
66978,2.238356,0.0
66988,2.238356,0.0
66998,2.238356,0.0
67008,2.248719,0.0
67018,2.248719,0.0
67028,2.248719,0.0
67038,2.248719,0.0
67048,2.248719,0.0
67058,2.248719,0.0
67068,2.248719,0.0
67078,2.248719,0.0
67088,2.248719,0.0
67098,2.248719,0.0
67108,2.248719,0.0
67118,2.248719,0.0
67128,2.248719,0.0
67138,2.248719,0.0
67148,2.248719,0.0
67158,2.248719,0.0
67168,2.248719,0.0
67178,2.248719,0.0
67188,2.248719,0.0
67198,2.248719,0.0
67208,2.248719,0.0
67218,2.248719,0.0
67228,2.248719,0.0
67238,2.248719,0.0
67248,2.248719,0.0
67258,2.248719,0.0
67268,2.248719,0.0
67278,2.248719,0.0
67288,2.248719,0.0
67298,2.248719,0.0
67308,2.248719,0.0
67318,2.248719,0.0
67328,2.248719,0.0
67338,2.248719,0.0
67348,2.248719,0.0
67358,2.248719,0.0
67368,2.248719,0.0
67378,2.248719,0.0
67388,2.248719,0.0
67398,2.248719,0.0
67408,2.248719,0.0
67418,2.248719,0.0
67428,2.248719,0.0
67438,2.248719,0.0
67448,2.248719,0.0
67458,2.248719,0.0
67468,2.248719,0.0
67478,2.248719,0.0
67488,2.248719,0.0
67498,2.248719,0.0
67508,2.248719,0.0
67518,2.248719,0.0
67528,2.248719,0.0
67538,2.259082,0.0
67548,2.259082,0.0
67558,2.259082,0.0
67568,2.259082,0.0
67578,2.259082,0.0
67588,2.259082,0.0
67598,2.259082,0.0
67608,2.259082,0.0
67618,2.259082,0.0
67628,2.259082,0.0
67638,2.259082,0.0
67648,2.259082,0.0
67658,2.259082,0.0
67668,2.259082,0.0
67678,2.259082,0.0
67688,2.259082,0.0
67698,2.259082,0.0
67708,2.248719,0.0
67718,2.248719,0.0
67728,2.248719,0.0
67738,2.248719,0.0
67748,2.248719,0.0
67758,2.248719,0.0
67768,2.248719,0.0
67778,2.248719,0.0
67788,2.248719,0.0
67798,2.248719,0.0
67808,2.248719,0.0
67818,2.248719,0.0
67828,2.248719,0.0
67838,2.248719,0.0
67848,2.248719,0.0
67858,2.248719,0.0
67868,2.248719,0.0
67878,2.248719,0.0
67888,2.248719,0.0
67898,2.248719,0.0
67908,2.248719,0.0
67918,2.248719,0.0
67928,2.248719,0.0
67938,2.248719,0.0
67948,2.248719,0.0
67958,2.248719,0.0
67968,2.248719,0.0
67978,2.248719,0.0
67988,2.248719,0.0
67998,2.248719,0.0
68008,2.248719,0.0
68018,2.248719,0.0
68028,2.248719,0.0
68038,2.248719,0.0
68048,2.248719,0.0
68058,2.248719,0.0
68068,2.248719,0.0
68078,2.248719,0.0
68088,2.248719,0.0
68098,2.248719,0.0
68108,2.248719,0.0
68118,2.248719,0.0
68128,2.248719,0.0
68138,2.248719,0.0
68148,2.248719,0.0
68158,2.248719,0.0
68168,2.248719,0.0
68178,2.238356,0.0
68188,2.238356,0.0
68198,2.238356,0.0
68208,2.238356,0.0
68218,2.238356,0.0
68228,2.238356,0.0
68238,2.248719,0.0
68248,2.248719,0.0
68258,2.248719,0.0
68268,2.248719,0.0
68278,2.248719,0.0
68288,2.248719,0.0
68298,2.248719,0.0
68308,2.248719,0.0
68318,2.248719,0.0
68328,2.248719,0.0
68338,2.248719,0.0
68348,2.248719,0.0
68358,2.248719,0.0
68368,2.248719,0.0
68378,2.248719,0.0
