angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.64,7.67,-72.58,-72.50,3977,216195
7.63,7.67,-72.62,-72.50,3911,216206
7.64,7.67,-72.60,-72.50,4095,216209
7.68,7.67,-72.55,-72.50,3921,216212
7.68,7.67,-72.56,-72.50,3989,216213
7.71,7.67,-72.51,-72.50,4001,216214
7.71,7.67,-72.49,-72.50,3888,216216
7.67,7.67,-72.52,-72.50,3975,216217
7.66,7.67,-72.57,-72.50,3733,216229
7.63,7.67,-72.58,-72.50,4089,216230
7.63,7.67,-72.56,-72.50,3939,216231
7.66,7.67,-72.55,-72.50,3955,216233
7.67,7.67,-72.54,-72.50,3900,216234
7.69,7.67,-72.56,-72.50,3786,216235
7.70,7.67,-72.57,-72.50,4030,216247
7.72,7.67,-72.55,-72.50,3968,216250
7.69,7.67,-72.49,-72.50,3906,216251
7.69,7.66,-72.46,-72.50,3968,216253
7.69,7.66,-72.50,-72.50,4095,216254
7.67,7.66,-72.46,-72.50,4095,216256
7.69,7.66,-72.46,-72.50,3948,216258
7.70,7.66,-72.49,-72.50,4095,216271
7.70,7.66,-72.49,-72.50,3923,216272
7.70,7.66,-72.50,-72.50,3921,216274
7.70,7.66,-72.47,-72.50,4013,216275
7.66,7.66,-72.48,-72.50,3990,216276
7.73,7.66,-72.51,-72.50,3911,216288
7.73,7.66,-72.54,-72.50,3987,216289
7.75,7.66,-72.57,-72.50,3882,216290
7.76,7.66,-72.54,-72.50,3891,216291
7.73,7.66,-72.52,-72.50,3984,216292
7.77,7.66,-72.53,-72.50,3892,216303
7.74,7.66,-72.56,-72.50,3925,216306
7.73,7.66,-72.59,-72.50,4055,216307
7.70,7.66,-72.61,-72.50,3935,216308
7.68,7.66,-72.60,-72.50,4095,216309
7.67,7.66,-72.60,-72.50,4095,216312
7.69,7.66,-72.59,-72.50,4095,216313
7.70,7.66,-72.56,-72.50,3862,216326
7.67,7.66,-72.56,-72.50,3835,216330
7.67,7.66,-72.55,-72.50,4049,216332
7.70,7.66,-72.54,-72.50,3945,216333
7.73,7.66,-72.54,-72.50,3978,216334
7.71,7.66,-72.56,-72.50,3922,216336
7.70,7.66,-72.53,-72.50,3953,216339
7.70,7.66,-72.52,-72.50,3867,216341
7.67,7.66,-72.56,-72.50,4016,216352
7.69,7.66,-72.56,-72.50,4095,216353
7.66,7.66,-72.58,-72.50,3908,216355
7.65,7.66,-72.60,-72.50,3923,216356
7.68,7.66,-72.57,-72.50,3487,216357
7.68,7.66,-72.54,-72.50,4003,216368
7.68,7.66,-72.56,-72.50,3941,216372
7.67,7.66,-72.52,-72.50,3980,216373
7.67,7.66,-72.53,-72.50,4007,216375
7.68,7.66,-72.52,-72.50,3947,216377
7.72,7.66,-72.57,-72.50,4034,216378
7.71,7.66,-72.58,-72.50,4043,216381
7.71,7.66,-72.57,-72.50,3893,216392
7.72,7.66,-72.55,-72.50,3874,216396
7.73,7.66,-72.57,-72.50,3953,216397
7.73,7.66,-72.56,-72.50,4095,216399
7.73,7.66,-72.52,-72.50,4035,216402
7.72,7.66,-72.49,-72.50,4017,216403
7.72,7.66,-72.49,-72.50,3979,216406
7.75,7.66,-72.46,-72.50,3391,216409
7.74,7.66,-72.47,-72.50,4049,216410
7.73,7.66,-72.46,-72.50,3949,216413
7.77,7.66,-72.43,-72.50,3423,216424
7.75,7.66,-72.46,-72.50,4026,216426
7.75,7.66,-72.44,-72.50,3574,216427
7.71,7.66,-72.45,-72.50,3918,216429
7.71,7.66,-72.46,-72.50,3989,216431
7.74,7.66,-72.46,-72.50,4027,216435
7.72,7.66,-72.46,-72.50,3927,216437
7.72,7.66,-72.46,-72.50,3866,216438
7.75,7.66,-72.48,-72.50,3943,216450
7.73,7.66,-72.48,-72.50,4095,216452
7.74,7.66,-72.48,-72.50,3963,216454
7.72,7.66,-72.53,-72.49,4003,216457
7.72,7.66,-72.51,-72.49,4050,216462
7.75,7.66,-72.49,-72.49,4091,216463
7.75,7.66,-72.48,-72.49,3987,216465
7.76,7.66,-72.45,-72.49,3973,216469
7.73,7.66,-72.46,-72.49,4095,216472
7.73,7.66,-72.45,-72.49,4023,216473
7.71,7.66,-72.41,-72.49,4095,216475
7.70,7.66,-72.45,-72.49,3631,216486
7.70,7.66,-72.40,-72.49,3896,216488
7.70,7.66,-72.37,-72.49,3986,216489
7.66,7.66,-72.43,-72.49,4022,216490
7.66,7.66,-72.45,-72.49,3974,216492
7.71,7.66,-72.45,-72.49,3955,216493
7.69,7.66,-72.44,-72.49,3984,216504
7.67,7.66,-72.48,-72.49,4031,216507
7.67,7.66,-72.49,-72.49,4011,216509
7.66,7.66,-72.53,-72.49,3923,216513
7.64,7.66,-72.57,-72.49,3865,216514
7.65,7.66,-72.58,-72.49,4035,216516
7.66,7.66,-72.56,-72.49,4043,216517
7.66,7.66,-72.54,-72.49,4014,216519
7.67,7.66,-72.58,-72.49,3984,216530
7.64,7.66,-72.53,-72.49,4014,216534
7.71,7.66,-72.66,-72.49,3923,216535
7.71,7.66,-72.65,-72.49,4095,216536
7.69,7.66,-72.61,-72.49,3791,216538
7.74,7.66,-72.55,-72.49,3930,216539
7.75,7.66,-72.52,-72.49,4095,216550
7.74,7.66,-72.46,-72.49,3971,216552
7.75,7.66,-72.47,-72.49,4019,216553
7.71,7.66,-72.50,-72.49,3888,216554
7.70,7.66,-72.48,-72.49,3904,216556
7.70,7.66,-72.47,-72.49,4085,216558
7.71,7.66,-72.45,-72.49,4005,216569
7.70,7.66,-72.44,-72.49,4034,216572
7.70,7.66,-72.46,-72.49,4064,216576
7.69,7.66,-72.47,-72.49,3855,216577
7.68,7.66,-72.41,-72.49,3984,216579
7.67,7.66,-72.44,-72.49,3996,216580
7.67,7.66,-72.51,-72.49,4035,216581
7.70,7.66,-72.52,-72.49,3839,216583
7.70,7.66,-72.51,-72.49,4048,216597
7.69,7.66,-72.54,-72.49,4037,216599
7.72,7.66,-72.49,-72.49,4016,216601
7.74,7.66,-72.46,-72.49,3936,216604
7.71,7.66,-72.47,-72.49,3981,216605
7.69,7.66,-72.48,-72.49,3993,216607
7.70,7.66,-72.46,-72.49,3904,216608
7.69,7.66,-72.48,-72.49,3919,216619
7.70,7.66,-72.53,-72.49,3937,216621
7.68,7.66,-72.56,-72.49,4029,216623
7.69,7.66,-72.59,-72.49,3925,216624
7.67,7.66,-72.60,-72.49,3902,216625
7.70,7.66,-72.57,-72.49,3878,216627
7.68,7.66,-72.56,-72.49,4079,216638
7.68,7.66,-72.56,-72.49,4023,216641
7.67,7.66,-72.61,-72.49,3991,216642
7.67,7.66,-72.62,-72.49,3885,216643
7.63,7.66,-72.66,-72.49,3975,216644
7.62,7.66,-72.63,-72.49,4070,216646
7.63,7.66,-72.61,-72.49,4095,216657
7.63,7.66,-72.61,-72.49,3905,216660
7.64,7.66,-72.57,-72.49,3823,216662
7.66,7.66,-72.52,-72.49,4039,216664
7.70,7.66,-72.53,-72.49,3939,216665
7.70,7.66,-72.56,-72.49,3953,216666
7.67,7.66,-72.54,-72.49,3991,216668
7.68,7.66,-72.54,-72.49,3344,216679
7.68,7.66,-72.52,-72.49,3907,216680
7.67,7.66,-72.53,-72.49,4043,216682
7.69,7.66,-72.53,-72.49,3981,216684
7.69,7.66,-72.52,-72.49,4049,216685
7.69,7.66,-72.55,-72.49,4095,216687
7.69,7.66,-72.49,-72.49,3866,216700
7.70,7.66,-72.41,-72.49,3966,216702
7.73,7.66,-72.43,-72.49,3943,216704
7.76,7.66,-72.44,-72.49,4095,216705
7.79,7.66,-72.45,-72.49,4095,216706
7.81,7.66,-72.41,-72.49,3889,216707
7.76,7.66,-72.41,-72.49,3991,216718
7.75,7.66,-72.46,-72.49,4059,216723
7.77,7.66,-72.48,-72.49,3871,216724
7.75,7.66,-72.48,-72.49,3904,216725
7.75,7.66,-72.47,-72.49,3945,216728
7.79,7.66,-72.49,-72.49,3930,216730
7.73,7.66,-72.49,-72.49,3978,216732
7.70,7.66,-72.44,-72.49,3968,216733
7.68,7.66,-72.44,-72.49,3983,216744
7.69,7.66,-72.42,-72.49,3965,216748
7.66,7.66,-72.48,-72.49,4015,216749
7.67,7.66,-72.50,-72.49,4038,216750
7.70,7.66,-72.46,-72.49,4091,216752
7.70,7.66,-72.42,-72.49,4072,216753
7.69,7.66,-72.47,-72.49,3969,216764
7.71,7.66,-72.50,-72.49,3877,216765
7.68,7.66,-72.51,-72.49,4039,216766
7.68,7.66,-72.51,-72.49,3991,216768
7.64,7.66,-72.56,-72.49,3755,216769
7.64,7.66,-72.51,-72.49,3997,216771
7.64,7.66,-72.50,-72.49,3918,216783
7.64,7.66,-72.51,-72.49,3927,216784
7.66,7.66,-72.52,-72.49,3952,216785
7.65,7.66,-72.52,-72.49,3952,216787
7.66,7.66,-72.56,-72.49,3986,216789
7.67,7.66,-72.54,-72.49,3956,216792
7.69,7.66,-72.54,-72.49,3961,216803
7.69,7.66,-72.51,-72.49,3888,216806
7.69,7.66,-72.54,-72.49,4010,216809
7.68,7.66,-72.56,-72.49,3917,216810
7.66,7.66,-72.58,-72.49,3921,216811
7.70,7.66,-72.57,-72.49,3984,216813
7.72,7.66,-72.54,-72.49,3984,216814
7.71,7.66,-72.51,-72.49,3970,216816
7.71,7.66,-72.54,-72.49,4085,216828
7.70,7.66,-72.53,-72.49,4020,216833
7.73,7.66,-72.49,-72.49,3973,216835
7.71,7.66,-72.50,-72.49,4029,216836
7.73,7.66,-72.53,-72.49,3970,216837
7.75,7.66,-72.51,-72.49,3947,216838
7.75,7.66,-72.52,-72.49,3781,216839
7.73,7.66,-72.51,-72.49,3943,216851
7.78,7.66,-72.59,-72.49,4010,216852
7.79,7.66,-72.58,-72.49,4011,216854
7.79,7.66,-72.51,-72.49,3982,216856
7.80,7.66,-72.50,-72.49,3909,216858
7.80,7.66,-72.50,-72.49,4000,216859
7.79,7.66,-72.53,-72.49,4054,216871
7.78,7.66,-72.52,-72.49,4042,216874
7.76,7.66,-72.50,-72.49,4017,216876
7.76,7.66,-72.48,-72.49,3994,216879
7.73,7.66,-72.49,-72.49,4095,216880
7.73,7.66,-72.48,-72.49,3964,216883
7.75,7.66,-72.47,-72.49,3986,216885
7.75,7.66,-72.48,-72.49,3868,216886
7.71,7.66,-72.47,-72.49,4042,216887
7.70,7.66,-72.44,-72.49,4048,216899
7.68,7.66,-72.49,-72.49,4032,216900
7.67,7.66,-72.51,-72.49,3984,216902
7.70,7.66,-72.51,-72.49,3914,216903
7.70,7.66,-72.51,-72.49,3946,216904
7.70,7.66,-72.50,-72.49,4012,216915
7.74,7.66,-72.51,-72.49,3945,216917
7.76,7.66,-72.49,-72.49,3994,216918
7.75,7.66,-72.44,-72.49,3932,216919
7.73,7.66,-72.47,-72.49,3991,216920
7.74,7.66,-72.42,-72.49,3939,216932
7.78,7.66,-72.45,-72.49,3922,216934
7.78,7.66,-72.52,-72.49,3909,216935
7.77,7.66,-72.56,-72.49,3970,216936
7.74,7.66,-72.56,-72.49,3973,216937
7.73,7.66,-72.56,-72.49,3952,216938
7.72,7.66,-72.58,-72.49,3929,216952
7.72,7.66,-72.55,-72.49,3911,216956
7.71,7.66,-72.54,-72.49,3889,216958
7.68,7.66,-72.56,-72.49,3957,216960
7.66,7.66,-72.59,-72.49,3843,216962
7.67,7.66,-72.57,-72.49,4018,216963
7.68,7.66,-72.54,-72.49,4034,216964
7.72,7.66,-72.50,-72.49,3945,216966
7.72,7.66,-72.49,-72.49,3968,216970
7.75,7.66,-72.47,-72.49,3991,216982
7.71,7.66,-72.53,-72.49,3957,216983
7.71,7.66,-72.52,-72.49,4095,216984
7.73,7.66,-72.51,-72.49,3921,216985
7.70,7.66,-72.52,-72.49,3902,216986
7.71,7.66,-72.55,-72.49,4080,216997
7.73,7.66,-72.57,-72.49,3926,216999
7.73,7.66,-72.60,-72.49,4083,217001
7.71,7.66,-72.60,-72.49,4002,217003
7.66,7.66,-72.53,-72.49,3959,217005
7.67,7.66,-72.54,-72.49,3971,217008
7.69,7.66,-72.60,-72.49,3974,217009
7.72,7.66,-72.54,-72.49,3981,217020
7.74,7.66,-72.51,-72.49,3979,217021
7.77,7.66,-72.53,-72.49,4077,217023
7.76,7.66,-72.55,-72.49,4022,217025
7.79,7.66,-72.49,-72.49,3905,217027
7.82,7.66,-72.51,-72.49,3971,217028
7.78,7.66,-72.50,-72.49,4015,217031
7.76,7.66,-72.46,-72.49,4095,217043
7.75,7.66,-72.45,-72.49,4095,217044
7.75,7.66,-72.44,-72.49,3919,217045
7.74,7.66,-72.43,-72.49,3888,217046
7.74,7.66,-72.45,-72.49,4095,217047
7.78,7.66,-72.49,-72.49,3949,217059
7.80,7.67,-72.48,-72.49,3839,217060
7.79,7.67,-72.55,-72.49,3839,217061
7.79,7.67,-72.50,-72.49,3897,217062
7.77,7.67,-72.57,-72.49,3959,217063
7.77,7.67,-72.61,-72.49,3865,217065
7.76,7.67,-72.64,-72.49,3917,217079
7.78,7.67,-72.57,-72.49,4095,217082
7.74,7.67,-72.52,-72.49,3881,217084
7.74,7.67,-72.50,-72.49,4035,217086
7.74,7.67,-72.50,-72.49,3952,217088
7.72,7.67,-72.50,-72.49,3711,217089
7.73,7.67,-72.50,-72.49,3914,217091
7.71,7.67,-72.55,-72.49,3973,217102
7.71,7.67,-72.51,-72.49,3952,217105
7.74,7.67,-72.48,-72.49,4015,217106
7.74,7.67,-72.47,-72.49,3951,217107
7.74,7.67,-72.47,-72.49,3931,217109
7.72,7.67,-72.45,-72.49,3953,217110
7.81,7.67,-72.40,-72.49,3979,217121
7.79,7.67,-72.43,-72.49,3982,217123
7.78,7.67,-72.43,-72.49,3913,217124
7.72,7.67,-72.57,-72.49,3973,217126
7.71,7.67,-72.52,-72.49,3723,217129
7.71,7.67,-72.50,-72.49,4095,217130
7.69,7.67,-72.52,-72.49,3857,217131
7.69,7.67,-72.54,-72.49,3969,217144
7.69,7.67,-72.54,-72.49,3882,217145
7.65,7.67,-72.60,-72.49,3937,217146
7.66,7.67,-72.59,-72.49,3907,217147
7.65,7.67,-72.58,-72.49,3968,217150
7.64,7.67,-72.57,-72.49,3973,217152
7.65,7.67,-72.55,-72.49,4019,217163
7.69,7.67,-72.55,-72.49,4095,217164
7.68,7.67,-72.56,-72.49,4020,217165
7.68,7.67,-72.57,-72.49,3583,217166
7.67,7.67,-72.57,-72.49,3883,217167
7.70,7.67,-72.53,-72.49,3963,217170
7.70,7.67,-72.51,-72.49,3961,217182
7.71,7.67,-72.50,-72.49,3943,217184
7.72,7.67,-72.52,-72.49,4000,217186
7.73,7.67,-72.51,-72.49,3472,217188
7.74,7.67,-72.46,-72.49,3934,217189
7.73,7.67,-72.48,-72.49,4086,217190
7.70,7.67,-72.51,-72.49,4095,217202
7.70,7.67,-72.51,-72.49,4031,217203
7.71,7.67,-72.52,-72.49,4001,217206
7.71,7.67,-72.44,-72.49,4095,217208
7.72,7.67,-72.50,-72.49,4003,217209
7.73,7.67,-72.48,-72.49,4081,217210
7.74,7.67,-72.48,-72.49,4095,217211
7.74,7.67,-72.43,-72.49,3937,217224
7.75,7.67,-72.43,-72.49,3931,217225
7.75,7.67,-72.40,-72.49,3987,217227
7.74,7.67,-72.42,-72.49,3892,217228
7.74,7.67,-72.46,-72.49,3895,217229
7.73,7.67,-72.50,-72.49,3901,217232
7.72,7.67,-72.52,-72.49,3888,217247
7.73,7.67,-72.50,-72.49,3935,217250
7.71,7.67,-72.48,-72.49,3972,217251
7.71,7.67,-72.52,-72.49,4016,217253
7.68,7.67,-72.55,-72.49,4039,217254
7.65,7.67,-72.56,-72.49,3988,217256
7.66,7.67,-72.55,-72.49,3941,217257
7.65,7.67,-72.56,-72.49,3978,217270
7.65,7.67,-72.60,-72.49,4033,217271
7.69,7.67,-72.51,-72.49,3894,217273
7.71,7.67,-72.52,-72.49,4017,217275
7.75,7.67,-72.49,-72.49,3982,217278
7.75,7.67,-72.53,-72.49,3984,217279
7.75,7.67,-72.53,-72.49,3583,217282
7.76,7.67,-72.60,-72.49,3867,217284
7.80,7.67,-72.60,-72.49,4011,217295
7.73,7.67,-72.63,-72.49,4027,217296
7.72,7.67,-72.57,-72.49,3968,217300
7.77,7.67,-72.51,-72.49,3455,217302
7.79,7.67,-72.49,-72.49,3878,217303
7.78,7.67,-72.51,-72.49,4035,217307
7.78,7.67,-72.57,-72.49,4010,217309
7.76,7.67,-72.56,-72.49,3923,217310
7.74,7.67,-72.60,-72.49,3920,217321
7.73,7.67,-72.55,-72.49,3935,217324
7.72,7.67,-72.51,-72.49,3615,217326
7.71,7.67,-72.53,-72.49,3973,217327
7.72,7.67,-72.49,-72.49,4010,217328
7.68,7.67,-72.53,-72.49,3923,217330
7.72,7.67,-72.50,-72.49,3987,217331
7.70,7.67,-72.53,-72.49,3891,217343
7.71,7.67,-72.57,-72.49,3867,217346
7.71,7.67,-72.56,-72.49,3920,217351
7.69,7.67,-72.53,-72.49,3905,217354
7.71,7.67,-72.49,-72.49,3907,217356
7.70,7.67,-72.50,-72.49,3775,217359
7.72,7.67,-72.53,-72.49,4018,217360
7.70,7.67,-72.55,-72.49,4034,217361
7.72,7.67,-72.51,-72.49,3987,217363
7.72,7.67,-72.51,-72.49,3920,217364
7.68,7.67,-72.53,-72.49,3904,217376
7.67,7.67,-72.51,-72.49,3983,217378
7.68,7.67,-72.52,-72.49,4095,217379
7.70,7.67,-72.50,-72.49,4095,217380
7.69,7.67,-72.49,-72.49,4095,217381
7.68,7.67,-72.48,-72.49,3739,217384
7.73,7.67,-72.47,-72.49,4058,217395
7.73,7.67,-72.45,-72.49,4095,217397
7.67,7.67,-72.53,-72.49,4006,217398
7.69,7.67,-72.51,-72.49,3953,217400
7.70,7.67,-72.51,-72.49,4095,217401
7.69,7.67,-72.51,-72.49,3997,217406
7.68,7.67,-72.50,-72.49,4095,217407
7.67,7.67,-72.54,-72.49,3807,217418
7.67,7.67,-72.54,-72.49,3920,217419
7.67,7.67,-72.55,-72.49,3973,217421
7.68,7.67,-72.55,-72.49,3958,217424
7.68,7.67,-72.58,-72.49,4095,217427
7.68,7.67,-72.54,-72.49,3984,217428
7.71,7.67,-72.52,-72.49,3955,217431
7.71,7.67,-72.55,-72.49,3984,217433
7.71,7.67,-72.54,-72.49,4015,217435
7.72,7.67,-72.50,-72.49,4032,217437
7.70,7.67,-72.45,-72.49,3986,217449
7.73,7.67,-72.47,-72.49,3936,217450
7.74,7.67,-72.49,-72.49,3951,217451
7.68,7.67,-72.51,-72.49,3920,217456
7.67,7.67,-72.48,-72.49,3963,217457
7.67,7.67,-72.50,-72.49,3929,217458
7.69,7.67,-72.52,-72.49,4095,217469
7.67,7.67,-72.49,-72.49,3979,217471
7.63,7.67,-72.47,-72.49,3930,217473
7.66,7.67,-72.48,-72.49,3875,217474
7.65,7.67,-72.52,-72.49,3952,217475
7.65,7.67,-72.50,-72.49,4081,217477
7.68,7.67,-72.50,-72.49,4095,217488
7.67,7.67,-72.43,-72.49,3891,217490
7.67,7.67,-72.46,-72.49,3935,217491
7.66,7.67,-72.50,-72.49,3983,217492
7.69,7.67,-72.47,-72.49,4049,217493
7.71,7.67,-72.46,-72.49,4031,217504
7.72,7.67,-72.45,-72.49,3967,217506
7.74,7.67,-72.46,-72.49,3963,217509
7.77,7.67,-72.45,-72.49,3987,217510
7.77,7.67,-72.49,-72.49,4049,217512
7.77,7.67,-72.48,-72.49,3954,217513
7.76,7.67,-72.51,-72.49,3942,217515
7.73,7.67,-72.55,-72.49,3951,217527
7.73,7.67,-72.53,-72.49,3788,217529
7.69,7.67,-72.56,-72.49,4095,217531
7.71,7.67,-72.60,-72.49,3948,217542
7.74,7.67,-72.62,-72.49,4095,217543
7.74,7.67,-72.60,-72.49,3939,217546
7.72,7.67,-72.60,-72.49,3985,217548
7.70,7.67,-72.60,-72.49,3902,217549
7.71,7.67,-72.55,-72.49,4016,217553
7.71,7.67,-72.52,-72.49,3930,217554
7.69,7.67,-72.50,-72.49,4095,217555
7.73,7.67,-72.49,-72.49,3888,217567
7.72,7.67,-72.47,-72.49,3929,217569
7.71,7.67,-72.46,-72.49,3919,217570
7.69,7.67,-72.51,-72.49,4095,217572
7.68,7.67,-72.56,-72.49,3855,217576
7.65,7.67,-72.54,-72.49,3966,217577
7.66,7.67,-72.52,-72.49,4095,217578
7.67,7.67,-72.55,-72.49,3987,217581
7.66,7.67,-72.54,-72.49,3695,217593
7.69,7.67,-72.51,-72.49,3569,217595
7.69,7.67,-72.48,-72.49,3926,217596
7.66,7.67,-72.53,-72.49,3963,217599
7.68,7.67,-72.50,-72.49,4023,217600
7.66,7.67,-72.50,-72.49,4007,217601
7.67,7.67,-72.53,-72.49,3974,217612
7.68,7.66,-72.52,-72.49,3910,217614
7.68,7.66,-72.54,-72.49,3984,217618
7.66,7.66,-72.49,-72.49,4017,217620
7.66,7.66,-72.47,-72.49,3942,217621
7.68,7.66,-72.48,-72.49,3826,217622
7.69,7.66,-72.50,-72.49,3583,217625
7.64,7.66,-72.53,-72.49,3954,217626
7.65,7.66,-72.53,-72.49,3955,217637
7.60,7.66,-72.48,-72.49,3931,217638
7.60,7.66,-72.46,-72.49,3902,217639
7.61,7.66,-72.48,-72.49,3898,217641
7.69,7.66,-72.45,-72.49,3975,217647
7.69,7.66,-72.51,-72.49,4095,217650
7.71,7.66,-72.52,-72.49,3857,217652
7.69,7.66,-72.50,-72.49,4011,217655
7.70,7.66,-72.50,-72.49,3760,217657
7.70,7.66,-72.52,-72.49,3935,217658
7.70,7.66,-72.55,-72.49,3974,217670
7.70,7.66,-72.51,-72.49,3893,217671
7.68,7.66,-72.54,-72.49,4063,217674
7.69,7.66,-72.53,-72.49,3952,217675
7.68,7.66,-72.53,-72.49,3950,217676
7.68,7.66,-72.57,-72.49,4019,217677
7.68,7.66,-72.60,-72.49,4063,217690
7.67,7.66,-72.62,-72.49,3952,217693
7.70,7.66,-72.59,-72.49,4050,217694
7.71,7.66,-72.61,-72.49,3919,217695
7.71,7.66,-72.67,-72.49,4095,217697
7.76,7.66,-72.59,-72.49,4095,217698
7.76,7.66,-72.56,-72.49,3987,217709
7.78,7.66,-72.61,-72.49,3885,217711
7.77,7.66,-72.58,-72.50,3932,217713
7.77,7.66,-72.57,-72.50,3966,217714
7.78,7.66,-72.55,-72.50,3921,217715
7.76,7.66,-72.51,-72.50,4018,217716
7.75,7.66,-72.48,-72.50,3843,217729
7.71,7.66,-72.41,-72.50,3952,217731
7.70,7.66,-72.40,-72.50,3925,217733
7.74,7.66,-72.41,-72.50,3643,217734
7.73,7.66,-72.42,-72.49,4015,217735
7.69,7.66,-72.48,-72.49,3902,217736
7.69,7.66,-72.47,-72.49,3927,217739
7.71,7.66,-72.49,-72.49,3731,217750
7.72,7.66,-72.45,-72.49,3791,217751
7.74,7.66,-72.38,-72.49,3869,217752
7.74,7.66,-72.33,-72.49,4026,217753
7.76,7.66,-72.39,-72.49,4003,217764
7.76,7.66,-72.44,-72.49,3998,217766
7.75,7.66,-72.44,-72.49,3935,217768
7.75,7.67,-72.45,-72.49,3941,217769
7.75,7.67,-72.45,-72.49,4036,217770
7.73,7.67,-72.47,-72.49,4023,217772
7.71,7.67,-72.43,-72.49,4095,217775
7.69,7.67,-72.47,-72.49,4016,217787
7.71,7.67,-72.51,-72.48,4014,217789
7.70,7.67,-72.52,-72.48,4016,217790
7.70,7.67,-72.52,-72.48,4010,217791
7.70,7.67,-72.49,-72.48,3923,217792
7.71,7.67,-72.52,-72.48,3919,217795
7.71,7.67,-72.52,-72.48,4063,217796
7.69,7.67,-72.53,-72.48,3959,217808
7.68,7.67,-72.52,-72.48,3955,217809
7.70,7.67,-72.49,-72.48,4095,217810
7.72,7.67,-72.47,-72.48,4007,217812
7.70,7.67,-72.50,-72.48,3902,217815
7.70,7.67,-72.56,-72.48,4095,217816
7.71,7.67,-72.52,-72.48,3933,217828
7.70,7.67,-72.45,-72.48,4019,217829
7.70,7.67,-72.44,-72.48,3993,217831
7.68,7.67,-72.45,-72.48,3963,217833
7.71,7.67,-72.45,-72.48,3647,217834
7.67,7.66,-72.45,-72.48,4043,217835
7.66,7.66,-72.46,-72.48,3951,217847
7.66,7.66,-72.48,-72.48,4012,217848
7.65,7.66,-72.51,-72.48,4043,217849
7.64,7.66,-72.51,-72.48,4095,217850
7.66,7.66,-72.53,-72.48,3952,217851
7.65,7.66,-72.53,-72.48,4095,217864
7.65,7.66,-72.52,-72.48,3907,217866
7.64,7.66,-72.56,-72.48,3839,217868
7.68,7.66,-72.53,-72.48,3943,217870
7.69,7.66,-72.49,-72.48,3988,217871
7.69,7.66,-72.51,-72.48,4095,217872
