angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.66,7.65,-72.48,-72.45,3932,282177
7.72,7.65,-72.44,-72.45,3966,282178
7.67,7.65,-72.55,-72.45,3893,282179
7.60,7.65,-72.58,-72.45,3963,282181
7.64,7.65,-72.57,-72.45,3865,282182
7.64,7.65,-72.56,-72.45,3882,282194
7.66,7.65,-72.62,-72.45,3952,282196
7.70,7.65,-72.51,-72.45,3865,282199
7.77,7.65,-72.56,-72.45,4002,282200
7.69,7.65,-72.48,-72.45,4095,282202
7.75,7.65,-72.49,-72.45,4095,282203
7.64,7.65,-72.58,-72.45,3950,282205
7.65,7.65,-72.59,-72.45,4025,282216
7.73,7.65,-72.61,-72.45,4048,282218
7.70,7.65,-72.53,-72.46,3843,282219
7.77,7.65,-72.54,-72.46,4032,282220
7.68,7.65,-72.51,-72.46,3949,282222
7.71,7.65,-72.50,-72.46,3857,282223
7.69,7.65,-72.43,-72.46,3984,282235
7.75,7.65,-72.48,-72.46,4031,282236
7.64,7.65,-72.48,-72.46,3951,282237
7.72,7.65,-72.48,-72.46,3836,282240
7.68,7.65,-72.46,-72.46,4002,282241
7.72,7.65,-72.38,-72.46,3983,282244
7.78,7.65,-72.38,-72.45,4029,282246
7.66,7.65,-72.33,-72.45,3908,282258
7.72,7.65,-72.40,-72.45,3905,282259
7.74,7.65,-72.45,-72.45,3890,282263
7.74,7.65,-72.37,-72.45,4016,282265
7.72,7.65,-72.35,-72.45,4048,282267
7.74,7.65,-72.34,-72.45,3693,282269
7.65,7.65,-72.34,-72.45,3895,282271
7.66,7.65,-72.38,-72.45,3981,282272
7.63,7.65,-72.42,-72.45,4095,282283
7.67,7.65,-72.39,-72.45,3933,282285
7.73,7.65,-72.39,-72.45,4079,282286
7.81,7.65,-72.41,-72.45,3905,282287
7.66,7.65,-72.52,-72.45,4027,282288
7.63,7.65,-72.58,-72.45,3890,282300
7.47,7.65,-72.71,-72.45,3909,282302
7.58,7.65,-72.57,-72.45,3880,282305
7.57,7.65,-72.59,-72.45,3856,282306
7.65,7.65,-72.68,-72.45,3906,282307
7.77,7.65,-72.69,-72.45,4034,282308
7.53,7.65,-72.66,-72.45,3891,282310
7.84,7.65,-72.43,-72.45,3665,282321
7.82,7.65,-72.40,-72.45,3820,282323
7.96,7.65,-72.62,-72.46,3886,282324
7.74,7.65,-72.51,-72.46,3810,282325
7.60,7.65,-72.32,-72.46,3905,282326
7.79,7.65,-72.45,-72.45,4095,282338
7.71,7.65,-72.49,-72.45,3930,282339
7.59,7.65,-72.56,-72.46,3943,282340
7.68,7.65,-72.41,-72.45,3902,282342
7.47,7.65,-72.41,-72.45,3919,282343
7.72,7.65,-72.48,-72.45,3927,282345
7.65,7.65,-72.57,-72.46,3888,282357
7.84,7.65,-72.39,-72.45,3979,282361
7.73,7.65,-72.42,-72.45,3942,282364
7.78,7.65,-72.51,-72.45,3967,282365
7.69,7.65,-72.48,-72.45,3952,282368
7.67,7.65,-72.47,-72.45,3854,282370
7.79,7.65,-72.37,-72.45,4062,282371
7.69,7.65,-72.40,-72.45,3995,282373
7.67,7.65,-72.38,-72.45,3919,282375
7.72,7.65,-72.46,-72.45,3872,282386
7.60,7.65,-72.40,-72.45,3967,282387
7.64,7.65,-72.45,-72.45,3858,282388
7.58,7.65,-72.51,-72.45,3976,282389
7.69,7.65,-72.46,-72.45,3911,282392
7.67,7.65,-72.41,-72.45,3929,282394
7.71,7.65,-72.46,-72.45,3933,282405
7.70,7.65,-72.48,-72.45,4007,282408
7.80,7.65,-72.41,-72.45,3880,282409
7.80,7.65,-72.38,-72.45,4070,282410
7.80,7.65,-72.41,-72.45,3968,282412
7.76,7.65,-72.42,-72.45,3850,282413
7.71,7.65,-72.39,-72.45,4095,282424
7.69,7.65,-72.46,-72.45,3882,282426
7.71,7.65,-72.50,-72.45,3919,282427
7.65,7.65,-72.55,-72.45,3931,282428
7.65,7.65,-72.50,-72.45,3873,282429
7.67,7.65,-72.44,-72.45,3952,282441
7.67,7.65,-72.46,-72.45,3927,282443
7.70,7.65,-72.39,-72.45,3858,282444
7.72,7.65,-72.37,-72.45,3772,282445
7.74,7.65,-72.37,-72.45,3909,282449
7.81,7.65,-72.34,-72.45,3839,282450
7.80,7.65,-72.32,-72.45,3991,282451
7.79,7.65,-72.33,-72.44,4087,282464
7.85,7.65,-72.35,-72.44,3871,282465
7.79,7.65,-72.41,-72.44,3794,282466
7.80,7.66,-72.38,-72.44,3888,282467
7.73,7.66,-72.43,-72.44,3810,282470
7.70,7.66,-72.51,-72.44,3950,282471
7.72,7.66,-72.48,-72.44,3777,282482
7.63,7.66,-72.56,-72.44,3997,282485
7.65,7.66,-72.54,-72.44,3878,282486
7.67,7.66,-72.42,-72.44,3841,282488
7.74,7.66,-72.41,-72.44,3851,282489
7.75,7.66,-72.38,-72.44,3947,282490
7.74,7.66,-72.38,-72.44,4024,282502
7.79,7.66,-72.32,-72.44,3536,282503
7.76,7.66,-72.33,-72.44,3942,282504
7.82,7.66,-72.39,-72.44,3910,282505
7.75,7.66,-72.38,-72.44,3623,282506
7.79,7.66,-72.32,-72.44,3958,282509
7.72,7.66,-72.42,-72.44,3778,282523
7.72,7.66,-72.47,-72.44,3867,282524
