angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.75,7.70,-72.66,-72.58,3929,55612
7.77,7.70,-72.67,-72.58,3939,55613
7.75,7.70,-72.65,-72.58,3915,55614
7.72,7.70,-72.62,-72.58,4095,55624
7.73,7.70,-72.59,-72.58,3735,55627
7.71,7.70,-72.58,-72.58,3977,55628
7.75,7.70,-72.67,-72.58,3939,55634
7.76,7.70,-72.66,-72.58,3858,55636
7.77,7.70,-72.63,-72.58,3899,55640
7.77,7.70,-72.58,-72.58,3917,55642
7.75,7.70,-72.61,-72.58,3965,55643
7.76,7.70,-72.58,-72.58,3997,55644
7.78,7.70,-72.55,-72.58,3946,55646
7.80,7.70,-72.54,-72.58,3927,55648
7.78,7.70,-72.59,-72.58,3906,55650
7.78,7.70,-72.57,-72.58,3918,55653
7.79,7.70,-72.63,-72.58,3967,55664
7.80,7.70,-72.65,-72.58,3904,55665
7.81,7.70,-72.58,-72.58,3949,55666
7.84,7.70,-72.55,-72.58,3984,55667
7.84,7.70,-72.53,-72.58,3984,55669
7.83,7.70,-72.52,-72.58,4095,55680
7.80,7.70,-72.53,-72.58,4039,55682
7.80,7.70,-72.59,-72.58,3961,55683
7.81,7.70,-72.68,-72.58,4095,55684
7.81,7.70,-72.67,-72.58,3952,55685
7.78,7.70,-72.72,-72.58,4010,55697
7.75,7.70,-72.79,-72.58,3972,55698
7.78,7.70,-72.79,-72.58,3924,55699
7.77,7.70,-72.80,-72.58,3911,55700
7.77,7.70,-72.82,-72.59,4095,55701
7.79,7.70,-72.83,-72.59,3972,55712
7.78,7.70,-72.80,-72.59,3954,55714
7.79,7.70,-72.78,-72.59,3888,55715
7.81,7.70,-72.77,-72.59,3953,55716
7.79,7.70,-72.77,-72.59,4095,55719
7.79,7.70,-72.79,-72.59,3815,55720
7.81,7.70,-72.78,-72.59,3926,55731
7.80,7.70,-72.81,-72.59,3993,55733
7.78,7.70,-72.79,-72.59,3939,55734
7.76,7.70,-72.75,-72.59,4033,55735
7.80,7.70,-72.72,-72.60,4004,55740
7.80,7.70,-72.69,-72.60,4095,55741
7.77,7.70,-72.68,-72.60,3997,55743
7.76,7.70,-72.71,-72.60,4095,55744
7.79,7.70,-72.75,-72.60,4095,55755
7.78,7.70,-72.74,-72.60,3972,55758
7.80,7.70,-72.69,-72.60,3975,55761
7.82,7.70,-72.71,-72.60,4095,55762
7.82,7.70,-72.69,-72.60,3904,55763
7.80,7.70,-72.69,-72.60,3952,55765
7.82,7.70,-72.71,-72.60,4048,55767
7.82,7.70,-72.70,-72.60,4048,55769
7.80,7.70,-72.66,-72.60,4024,55781
7.80,7.70,-72.65,-72.60,3984,55782
7.78,7.70,-72.64,-72.60,3974,55783
