angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.86,2.42,-72.63,-22.35,4081,32673
7.85,3.69,-72.68,-34.19,3795,32676
7.80,4.48,-72.63,-41.52,3678,32678
7.78,5.00,-72.62,-46.49,3875,32682
7.76,5.38,-72.65,-50.10,3867,32685
7.76,5.67,-72.64,-52.84,3823,32690
7.80,5.90,-72.64,-54.98,3918,32691
7.78,6.08,-72.64,-56.70,3882,32695
7.80,6.24,-72.65,-58.12,3906,32696
7.79,6.36,-72.62,-59.31,4095,32698
7.80,6.47,-72.60,-60.31,3914,32705
7.81,6.57,-72.56,-61.17,3844,32706
7.83,6.65,-72.55,-61.92,3903,32707
7.86,6.72,-72.55,-62.58,3874,32710
7.86,6.79,-72.55,-63.16,3959,32715
7.87,6.85,-72.50,-63.67,3799,32716
7.83,6.90,-72.53,-64.13,3853,32720
7.80,6.94,-72.57,-64.55,3877,32722
7.77,6.98,-72.61,-64.93,3790,32725
7.80,7.02,-72.65,-65.28,3813,32728
7.81,7.05,-72.63,-65.59,3883,32734
7.78,7.08,-72.66,-65.89,3861,32736
7.78,7.11,-72.65,-66.16,3909,32737
7.80,7.14,-72.66,-66.41,3915,32746
7.77,7.16,-72.67,-66.64,3673,32748
7.74,7.18,-72.64,-66.85,3750,32749
7.77,7.20,-72.64,-67.05,3801,32750
7.79,7.22,-72.69,-67.24,3776,32753
7.80,7.24,-72.72,-67.41,3779,32754
7.81,7.25,-72.73,-67.58,3863,32759
7.79,7.27,-72.71,-67.74,3646,32760
7.79,7.29,-72.73,-67.88,4095,32762
7.81,7.30,-72.74,-68.02,3887,32765
7.83,7.32,-72.75,-68.16,3759,32769
7.84,7.33,-72.73,-68.28,4095,32780
7.82,7.34,-72.69,-68.40,3847,32781
7.80,7.35,-72.69,-68.51,3636,32782
7.80,7.36,-72.71,-68.61,3871,32783
7.79,7.37,-72.70,-68.71,3968,32785
7.78,7.38,-72.72,-68.81,3853,32786
7.84,7.39,-72.67,-68.90,3824,32798
7.85,7.40,-72.61,-68.99,3935,32799
7.85,7.41,-72.63,-69.07,3773,32800
7.82,7.42,-72.60,-69.15,3606,32801
7.85,7.43,-72.56,-69.22,4063,32805
7.82,7.44,-72.60,-69.29,3817,32806
7.79,7.44,-72.60,-69.36,3961,32818
7.78,7.45,-72.58,-69.42,3809,32820
7.75,7.46,-72.63,-69.49,3793,32823
7.76,7.46,-72.61,-69.55,3885,32825
7.78,7.47,-72.64,-69.61,3839,32827
7.78,7.47,-72.63,-69.67,3706,32829
7.79,7.48,-72.66,-69.72,3898,32832
7.77,7.48,-72.69,-69.78,3867,32833
7.74,7.49,-72.70,-69.83,3809,32834
7.73,7.49,-72.71,-69.88,3837,32837
7.75,7.50,-72.70,-69.93,3841,32849
7.75,7.50,-72.67,-69.98,3862,32850
7.76,7.50,-72.70,-70.02,3863,32852
7.79,7.51,-72.66,-70.07,3890,32853
7.81,7.51,-72.60,-70.11,3702,32854
7.82,7.52,-72.61,-70.15,3933,32856
7.82,7.52,-72.60,-70.19,3873,32858
7.82,7.53,-72.62,-70.22,3830,32870
7.81,7.53,-72.56,-70.26,3887,32872
7.79,7.53,-72.57,-70.30,3866,32873
7.83,7.54,-72.56,-70.33,3837,32874
7.84,7.54,-72.55,-70.36,3839,32878
7.83,7.55,-72.59,-70.39,3843,32879
7.84,7.55,-72.62,-70.43,3957,32881
7.83,7.55,-72.61,-70.46,3899,32892
7.82,7.56,-72.61,-70.49,3873,32895
7.77,7.56,-72.60,-70.52,3860,32896
7.81,7.56,-72.59,-70.55,3830,32900
7.82,7.57,-72.60,-70.57,3941,32901
7.81,7.57,-72.59,-70.60,3854,32902
7.82,7.57,-72.61,-70.63,3431,32903
7.80,7.58,-72.60,-70.65,3873,32907
7.78,7.58,-72.57,-70.68,3837,32909
7.71,7.58,-72.59,-70.70,4095,32920
7.71,7.58,-72.54,-70.73,3855,32922
7.73,7.58,-72.53,-70.75,4095,32924
7.76,7.58,-72.53,-70.77,3769,32925
7.77,7.59,-72.52,-70.79,3787,32927
7.81,7.59,-72.57,-70.81,3930,32928
7.82,7.59,-72.60,-70.84,3789,32939
7.82,7.59,-72.62,-70.86,3775,32940
7.81,7.60,-72.64,-70.88,3888,32942
7.84,7.60,-72.62,-70.90,3829,32943
7.86,7.60,-72.60,-70.92,3920,32944
7.85,7.60,-72.63,-70.94,3850,32945
7.83,7.61,-72.62,-70.96,3837,32958
7.81,7.61,-72.64,-70.98,3843,32960
7.79,7.61,-72.67,-71.00,3954,32961
7.78,7.61,-72.62,-71.01,3800,32965
7.81,7.61,-72.64,-71.03,3739,32966
7.80,7.61,-72.69,-71.05,3883,32967
7.79,7.62,-72.66,-71.07,3872,32969
7.76,7.62,-72.67,-71.09,3971,32980
7.75,7.62,-72.67,-71.10,3718,32983
7.76,7.62,-72.70,-71.12,3873,32987
7.76,7.62,-72.70,-71.14,3861,32988
7.78,7.62,-72.63,-71.15,3927,32989
7.77,7.62,-72.67,-71.17,3860,32990
7.81,7.62,-72.72,-71.18,3504,32991
