angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.76,7.65,-72.44,-72.44,3853,464724
7.74,7.65,-72.44,-72.44,3857,464725
7.72,7.65,-72.49,-72.44,3868,464726
7.72,7.65,-72.49,-72.44,4049,464737
7.71,7.65,-72.52,-72.44,3954,464740
7.68,7.65,-72.54,-72.44,3947,464742
7.68,7.65,-72.55,-72.44,3906,464744
7.69,7.65,-72.50,-72.44,3996,464746
7.70,7.65,-72.53,-72.44,3881,464747
7.69,7.65,-72.55,-72.44,4014,464748
7.68,7.65,-72.53,-72.44,3903,464759
7.68,7.65,-72.56,-72.44,3888,464761
7.64,7.65,-72.60,-72.44,3728,464762
7.67,7.65,-72.61,-72.45,3934,464763
7.69,7.65,-72.50,-72.45,4071,464765
7.69,7.65,-72.52,-72.45,3858,464776
7.68,7.65,-72.50,-72.45,4055,464778
7.64,7.65,-72.54,-72.45,3875,464779
7.64,7.65,-72.51,-72.45,3919,464781
7.66,7.65,-72.45,-72.45,4028,464784
7.65,7.65,-72.46,-72.45,3923,464785
7.65,7.65,-72.51,-72.45,3951,464786
7.67,7.65,-72.51,-72.45,3919,464799
7.67,7.65,-72.53,-72.45,3910,464800
7.67,7.65,-72.52,-72.45,3679,464801
7.63,7.65,-72.57,-72.45,3890,464803
7.67,7.65,-72.55,-72.45,3831,464806
7.71,7.65,-72.48,-72.45,3839,464810
7.72,7.65,-72.49,-72.45,3909,464811
7.71,7.65,-72.50,-72.45,3951,464812
7.72,7.65,-72.53,-72.45,3894,464824
7.69,7.65,-72.53,-72.45,3827,464825
7.63,7.65,-72.55,-72.45,4095,464826
7.65,7.65,-72.53,-72.45,3904,464827
7.64,7.65,-72.57,-72.45,3939,464829
7.66,7.65,-72.57,-72.45,4095,464840
7.65,7.65,-72.58,-72.45,3858,464842
7.75,7.65,-72.50,-72.45,3903,464843
7.71,7.65,-72.52,-72.45,3973,464844
7.73,7.65,-72.50,-72.45,3860,464845
7.71,7.65,-72.48,-72.45,3936,464857
7.71,7.65,-72.44,-72.45,3856,464858
7.75,7.65,-72.44,-72.45,3881,464859
7.76,7.65,-72.45,-72.45,3904,464860
7.75,7.65,-72.43,-72.45,3944,464862
7.72,7.65,-72.46,-72.45,4095,464873
7.71,7.65,-72.42,-72.45,3883,464875
7.70,7.65,-72.48,-72.45,4005,464876
7.74,7.65,-72.51,-72.45,3911,464878
7.79,7.65,-72.46,-72.45,3923,464879
7.75,7.65,-72.45,-72.45,3882,464880
7.74,7.65,-72.50,-72.45,3935,464892
7.73,7.65,-72.47,-72.45,3935,464893
7.68,7.65,-72.50,-72.45,4095,464894
7.69,7.65,-72.50,-72.45,3696,464895
7.68,7.65,-72.49,-72.45,3867,464897
7.72,7.65,-72.40,-72.45,3851,464899
7.70,7.64,-72.35,-72.45,3866,464910
7.68,7.64,-72.43,-72.45,3904,464912
7.68,7.64,-72.48,-72.45,3760,464915
7.67,7.64,-72.49,-72.45,3963,464916
7.67,7.64,-72.50,-72.45,3763,464917
7.69,7.64,-72.48,-72.45,3900,464918
7.67,7.64,-72.45,-72.45,3716,464930
7.63,7.64,-72.44,-72.45,3809,464931
7.62,7.64,-72.42,-72.45,3856,464932
7.63,7.64,-72.45,-72.45,3852,464934
7.64,7.64,-72.45,-72.45,3914,464935
7.66,7.64,-72.43,-72.45,3880,464947
7.66,7.64,-72.45,-72.45,3887,464949
7.67,7.64,-72.44,-72.45,3896,464950
7.69,7.64,-72.45,-72.45,3972,464952
7.70,7.64,-72.41,-72.45,3927,464954
7.68,7.64,-72.44,-72.45,3894,464955
7.66,7.64,-72.45,-72.45,4062,464966
7.65,7.64,-72.47,-72.45,3911,464967
7.63,7.64,-72.44,-72.45,3895,464968
7.64,7.64,-72.47,-72.45,3987,464969
7.64,7.64,-72.49,-72.45,3895,464970
7.65,7.64,-72.47,-72.45,3908,464983
7.63,7.64,-72.54,-72.45,3930,464985
7.62,7.64,-72.51,-72.45,3878,464986
7.65,7.64,-72.48,-72.45,3918,464988
7.66,7.64,-72.42,-72.45,3907,464990
7.66,7.64,-72.37,-72.45,3847,464991
7.65,7.64,-72.35,-72.45,3873,464993
7.70,7.64,-72.34,-72.45,3914,465005
7.69,7.64,-72.38,-72.45,3746,465007
7.69,7.64,-72.33,-72.45,4003,465008
7.73,7.64,-72.31,-72.45,3905,465009
7.75,7.64,-72.30,-72.45,3933,465011
7.72,7.64,-72.30,-72.44,3865,465012
7.75,7.64,-72.30,-72.44,3972,465016
7.74,7.64,-72.34,-72.44,3951,465027
7.73,7.64,-72.38,-72.44,3979,465029
7.70,7.64,-72.39,-72.44,3883,465030
7.67,7.64,-72.37,-72.44,3890,465031
7.65,7.64,-72.41,-72.44,3951,465032
7.68,7.64,-72.42,-72.44,3999,465034
7.66,7.64,-72.46,-72.44,3931,465046
7.70,7.64,-72.47,-72.44,3873,465047
7.72,7.64,-72.53,-72.44,4023,465050
7.70,7.64,-72.50,-72.44,3907,465053
7.72,7.64,-72.50,-72.44,3813,465054
7.73,7.64,-72.53,-72.44,3801,465055
7.73,7.64,-72.52,-72.44,3954,465056
7.71,7.64,-72.54,-72.44,3872,465068
7.71,7.64,-72.57,-72.44,3941,465069
7.68,7.64,-72.54,-72.44,3936,465071
7.68,7.64,-72.53,-72.45,3878,465072
7.70,7.64,-72.54,-72.45,3967,465073
7.70,7.64,-72.51,-72.45,3925,465084
7.70,7.64,-72.54,-72.45,3887,465086
7.72,7.64,-72.57,-72.45,3957,465088
7.69,7.64,-72.61,-72.45,3840,465089
7.69,7.64,-72.59,-72.45,3867,465093
7.68,7.64,-72.59,-72.45,3856,465094
7.69,7.64,-72.59,-72.45,3847,465095
7.71,7.64,-72.59,-72.45,3891,465107
7.69,7.64,-72.61,-72.45,3843,465108
7.66,7.64,-72.61,-72.45,3824,465109
7.69,7.64,-72.57,-72.45,3900,465112
7.70,7.64,-72.59,-72.45,3949,465114
7.66,7.64,-72.61,-72.45,3909,465115
7.68,7.64,-72.62,-72.45,3899,465126
7.66,7.64,-72.63,-72.46,3951,465130
7.65,7.64,-72.64,-72.46,3915,465132
7.65,7.64,-72.60,-72.46,4010,465134
7.68,7.64,-72.55,-72.46,3884,465135
7.68,7.64,-72.52,-72.46,3885,465137
7.69,7.64,-72.55,-72.46,3824,465139
7.66,7.64,-72.55,-72.46,3919,465140
7.63,7.63,-72.56,-72.46,3885,465152
7.65,7.63,-72.60,-72.46,3910,465154
7.69,7.63,-72.57,-72.46,3899,465155
7.67,7.63,-72.57,-72.46,3833,465157
7.64,7.63,-72.56,-72.46,3863,465158
7.65,7.63,-72.54,-72.46,3886,465160
7.69,7.63,-72.47,-72.46,3786,465171
7.72,7.63,-72.46,-72.46,3807,465175
7.77,7.64,-72.37,-72.46,3995,465176
7.77,7.64,-72.40,-72.46,3937,465178
7.78,7.64,-72.38,-72.46,3779,465179
7.78,7.64,-72.39,-72.46,3943,465181
7.80,7.64,-72.35,-72.46,3627,465182
7.78,7.64,-72.32,-72.46,3968,465194
7.75,7.64,-72.34,-72.46,3984,465197
7.70,7.64,-72.37,-72.46,3824,465198
7.70,7.64,-72.38,-72.46,4085,465201
7.69,7.64,-72.45,-72.46,3876,465202
7.66,7.64,-72.46,-72.46,3872,465203
7.65,7.64,-72.50,-72.46,3886,465204
7.66,7.64,-72.50,-72.46,3886,465216
7.66,7.64,-72.49,-72.46,3783,465217
7.66,7.64,-72.51,-72.46,3911,465219
7.68,7.64,-72.48,-72.46,3970,465220
7.68,7.64,-72.48,-72.46,3915,465223
7.69,7.64,-72.46,-72.46,3957,465226
7.71,7.64,-72.48,-72.46,3841,465229
7.69,7.64,-72.48,-72.46,3870,465231
7.69,7.64,-72.43,-72.46,3856,465233
7.68,7.64,-72.44,-72.45,4095,465245
7.65,7.64,-72.47,-72.45,3951,465248
7.65,7.64,-72.50,-72.45,3851,465249
7.67,7.64,-72.47,-72.45,3898,465250
7.69,7.64,-72.35,-72.45,3760,465252
7.68,7.64,-72.35,-72.45,3970,465253
7.67,7.64,-72.35,-72.45,3920,465264
7.67,7.64,-72.38,-72.45,3871,465269
7.70,7.64,-72.42,-72.45,3896,465273
7.73,7.64,-72.41,-72.45,3985,465274
7.70,7.64,-72.43,-72.45,3855,465275
7.70,7.64,-72.44,-72.45,3793,465276
7.68,7.64,-72.51,-72.45,3846,465278
7.68,7.64,-72.48,-72.45,3776,465289
7.68,7.64,-72.46,-72.45,3858,465290
7.66,7.64,-72.51,-72.45,3941,465291
7.69,7.64,-72.52,-72.45,3782,465294
7.70,7.64,-72.53,-72.45,3986,465296
7.69,7.64,-72.51,-72.45,3881,465298
7.70,7.64,-72.47,-72.45,3884,465300
7.70,7.64,-72.45,-72.45,3853,465311
7.72,7.64,-72.44,-72.45,3931,465313
7.72,7.64,-72.48,-72.45,3839,465314
7.70,7.64,-72.50,-72.45,3824,465317
7.66,7.64,-72.55,-72.45,3920,465319
7.67,7.64,-72.55,-72.45,3863,465321
7.67,7.64,-72.56,-72.45,3949,465322
7.64,7.64,-72.54,-72.45,3810,465333
7.63,7.64,-72.49,-72.45,3986,465335
7.63,7.64,-72.49,-72.45,3941,465336
7.63,7.64,-72.45,-72.45,3957,465337
7.69,7.64,-72.46,-72.45,3838,465339
7.69,7.64,-72.49,-72.45,3986,465341
7.70,7.64,-72.47,-72.45,4003,465352
7.70,7.64,-72.40,-72.45,3876,465354
7.68,7.64,-72.41,-72.45,3394,465355
7.68,7.64,-72.46,-72.45,3829,465356
7.71,7.64,-72.44,-72.45,3941,465357
7.71,7.64,-72.41,-72.45,3888,465369
7.68,7.64,-72.46,-72.45,3944,465370
7.66,7.64,-72.45,-72.45,3952,465372
7.63,7.64,-72.45,-72.45,3885,465374
7.71,7.64,-72.43,-72.45,3875,465375
7.71,7.64,-72.51,-72.45,3916,465379
7.72,7.64,-72.50,-72.45,3873,465382
7.69,7.64,-72.48,-72.45,3875,465385
7.73,7.64,-72.44,-72.45,3882,465389
7.73,7.64,-72.47,-72.45,3852,465390
7.75,7.64,-72.48,-72.45,3856,465393
7.73,7.64,-72.49,-72.45,4095,465396
7.71,7.64,-72.46,-72.45,3907,465407
7.74,7.64,-72.48,-72.45,3873,465409
7.73,7.64,-72.51,-72.45,3901,465410
7.73,7.64,-72.55,-72.45,3906,465411
7.70,7.64,-72.50,-72.45,3875,465414
7.67,7.64,-72.53,-72.45,3873,465416
7.67,7.64,-72.55,-72.45,3837,465419
7.69,7.64,-72.53,-72.45,3898,465422
7.70,7.64,-72.53,-72.45,3659,465424
7.66,7.64,-72.56,-72.45,3871,465438
7.65,7.64,-72.60,-72.45,3984,465440
7.66,7.64,-72.63,-72.46,3919,465442
7.68,7.64,-72.60,-72.46,3985,465443
7.70,7.64,-72.57,-72.46,3814,465445
7.71,7.64,-72.50,-72.46,3880,465446
7.66,7.64,-72.55,-72.46,3894,465447
7.66,7.64,-72.56,-72.46,3875,465459
7.68,7.64,-72.55,-72.46,4095,465461
7.68,7.64,-72.52,-72.46,3979,465463
7.70,7.64,-72.54,-72.46,3823,465464
7.69,7.64,-72.56,-72.46,3922,465465
7.69,7.64,-72.49,-72.46,3722,465469
7.65,7.64,-72.48,-72.46,3884,465470
7.64,7.64,-72.47,-72.46,4007,465482
7.64,7.64,-72.40,-72.46,3455,465483
7.67,7.64,-72.39,-72.46,3902,465485
7.68,7.64,-72.39,-72.46,3972,465486
7.69,7.64,-72.43,-72.46,3793,465488
7.70,7.63,-72.43,-72.46,3935,465489
7.69,7.63,-72.45,-72.46,3888,465500
7.69,7.63,-72.43,-72.46,3929,465501
7.70,7.63,-72.42,-72.46,3863,465503
7.69,7.63,-72.43,-72.46,3905,465504
7.67,7.63,-72.51,-72.46,3920,465515
7.67,7.63,-72.48,-72.46,3837,465518
7.66,7.63,-72.47,-72.46,3848,465520
7.68,7.63,-72.48,-72.46,3894,465522
7.66,7.63,-72.53,-72.46,3839,465523
7.69,7.63,-72.51,-72.46,3945,465524
7.71,7.63,-72.52,-72.46,3869,465525
7.67,7.63,-72.55,-72.46,3537,465537
7.71,7.63,-72.50,-72.46,3972,465538
7.72,7.63,-72.49,-72.46,3846,465539
7.69,7.63,-72.53,-72.46,3967,465541
7.66,7.63,-72.51,-72.46,3886,465542
7.65,7.63,-72.52,-72.46,3879,465546
7.64,7.63,-72.50,-72.46,3730,465548
7.64,7.63,-72.44,-72.46,3728,465559
7.67,7.63,-72.43,-72.46,3860,465560
7.70,7.63,-72.40,-72.46,3810,465562
7.74,7.63,-72.41,-72.46,3873,465563
7.77,7.63,-72.38,-72.45,4095,465564
7.76,7.63,-72.45,-72.45,3933,465576
7.73,7.63,-72.47,-72.45,3923,465579
7.71,7.63,-72.48,-72.45,3757,465580
7.71,7.63,-72.46,-72.45,3885,465581
7.68,7.63,-72.45,-72.45,3856,465582
7.68,7.63,-72.45,-72.45,3852,465583
7.68,7.63,-72.41,-72.45,3857,465595
7.69,7.63,-72.39,-72.45,3860,465596
7.68,7.63,-72.37,-72.45,3867,465597
7.71,7.63,-72.39,-72.45,3962,465599
7.72,7.63,-72.38,-72.45,3938,465600
7.72,7.63,-72.34,-72.45,4095,465604
7.76,7.63,-72.33,-72.45,3839,465607
7.78,7.64,-72.36,-72.45,3854,465610
7.79,7.64,-72.31,-72.45,3868,465613
7.81,7.64,-72.30,-72.45,3952,465615
7.77,7.64,-72.31,-72.45,3913,465627
7.76,7.64,-72.35,-72.44,3859,465630
7.77,7.64,-72.37,-72.44,3889,465634
7.77,7.64,-72.36,-72.44,4004,465635
7.78,7.64,-72.40,-72.44,3959,465636
7.77,7.64,-72.41,-72.44,3956,465640
7.77,7.64,-72.41,-72.44,3869,465643
7.77,7.64,-72.40,-72.44,3893,465645
7.74,7.64,-72.43,-72.44,3913,465646
7.74,7.64,-72.49,-72.44,3998,465647
7.72,7.64,-72.48,-72.44,4048,465659
7.70,7.64,-72.53,-72.44,3897,465661
7.66,7.64,-72.51,-72.44,3853,465662
7.65,7.64,-72.50,-72.44,3975,465663
7.68,7.64,-72.49,-72.44,3969,465664
7.69,7.64,-72.49,-72.44,3877,465666
7.69,7.64,-72.49,-72.44,3895,465677
7.68,7.64,-72.50,-72.44,3843,465679
7.68,7.64,-72.54,-72.45,3907,465680
7.68,7.64,-72.57,-72.45,3540,465681
7.70,7.64,-72.59,-72.45,3881,465683
7.68,7.64,-72.60,-72.45,3917,465694
7.66,7.64,-72.61,-72.45,3850,465697
7.64,7.64,-72.53,-72.45,3951,465698
7.67,7.64,-72.49,-72.45,3878,465699
7.64,7.64,-72.53,-72.45,3877,465701
7.60,7.64,-72.53,-72.45,3971,465702
7.58,7.64,-72.56,-72.45,3850,465713
7.61,7.64,-72.60,-72.45,3877,465718
7.62,7.64,-72.61,-72.45,3866,465719
7.64,7.64,-72.54,-72.45,3817,465721
7.63,7.64,-72.48,-72.45,3931,465722
7.63,7.64,-72.50,-72.45,3922,465723
7.61,7.64,-72.52,-72.45,3884,465724
7.62,7.64,-72.56,-72.45,3918,465736
7.64,7.64,-72.53,-72.45,3792,465739
7.61,7.64,-72.52,-72.45,3888,465741
7.64,7.64,-72.51,-72.45,3842,465742
7.63,7.63,-72.46,-72.45,3892,465743
7.64,7.63,-72.45,-72.45,3922,465745
7.63,7.63,-72.44,-72.45,3927,465747
7.65,7.63,-72.49,-72.45,3964,465758
7.70,7.63,-72.53,-72.45,3964,465760
7.78,7.63,-72.51,-72.45,4095,465761
7.81,7.64,-72.50,-72.45,4015,465766
7.82,7.64,-72.46,-72.45,3808,465767
7.81,7.64,-72.42,-72.45,3903,465768
7.78,7.64,-72.47,-72.45,4015,465769
7.78,7.64,-72.46,-72.45,3902,465780
7.77,7.64,-72.52,-72.45,3870,465781
7.73,7.64,-72.50,-72.45,3937,465782
7.73,7.64,-72.45,-72.45,3733,465783
7.72,7.64,-72.45,-72.45,3870,465786
7.75,7.64,-72.45,-72.45,3866,465797
7.72,7.64,-72.50,-72.45,4027,465799
7.69,7.64,-72.52,-72.45,3619,465800
7.62,7.64,-72.55,-72.45,4095,465801
7.64,7.64,-72.48,-72.45,3957,465802
7.67,7.64,-72.43,-72.45,3951,465814
7.67,7.64,-72.42,-72.45,3893,465815
7.64,7.64,-72.41,-72.45,3919,465816
7.67,7.64,-72.43,-72.45,3494,465817
7.69,7.64,-72.46,-72.45,3895,465821
7.69,7.64,-72.44,-72.45,3961,465822
7.68,7.64,-72.47,-72.45,3858,465823
7.67,7.64,-72.45,-72.45,3911,465836
7.69,7.64,-72.45,-72.45,4095,465837
7.73,7.64,-72.49,-72.45,3865,465838
7.73,7.64,-72.50,-72.45,3940,465839
7.68,7.64,-72.49,-72.45,3887,465840
7.68,7.64,-72.48,-72.45,3888,465852
7.68,7.64,-72.48,-72.45,3699,465853
7.68,7.64,-72.47,-72.45,3920,465854
7.66,7.64,-72.50,-72.45,3931,465855
7.71,7.64,-72.47,-72.45,3883,465856
7.71,7.64,-72.47,-72.45,3998,465862
7.71,7.64,-72.47,-72.45,3980,465864
7.71,7.64,-72.43,-72.45,3829,465875
7.70,7.64,-72.38,-72.45,3857,465877
7.71,7.64,-72.37,-72.45,3905,465878
7.69,7.64,-72.39,-72.45,3684,465879
7.67,7.64,-72.39,-72.45,3895,465880
7.64,7.64,-72.41,-72.45,3966,465883
7.64,7.64,-72.38,-72.45,3867,465885
7.65,7.64,-72.40,-72.45,3837,465896
7.64,7.64,-72.43,-72.45,3904,465897
7.67,7.64,-72.42,-72.45,4055,465900
7.68,7.64,-72.44,-72.45,3889,465901
7.67,7.64,-72.45,-72.45,3948,465903
7.66,7.64,-72.43,-72.45,3856,465904
7.66,7.64,-72.44,-72.45,3888,465907
7.63,7.64,-72.49,-72.45,3978,465919
7.61,7.64,-72.55,-72.45,4095,465920
7.60,7.63,-72.58,-72.45,3979,465922
7.61,7.63,-72.51,-72.45,4081,465924
7.60,7.63,-72.53,-72.45,3927,465928
7.61,7.63,-72.51,-72.45,3950,465930
7.66,7.63,-72.52,-72.45,3902,465931
7.68,7.63,-72.54,-72.45,3954,465932
7.70,7.63,-72.51,-72.45,3879,465944
7.67,7.63,-72.54,-72.45,3878,465946
7.67,7.63,-72.55,-72.45,3872,465949
7.66,7.63,-72.52,-72.45,3999,465950
7.66,7.63,-72.48,-72.45,3824,465953
7.69,7.63,-72.48,-72.45,4015,465954
7.72,7.63,-72.50,-72.45,3950,465955
7.70,7.63,-72.47,-72.45,3921,465967
7.71,7.63,-72.48,-72.45,3867,465969
7.71,7.63,-72.50,-72.45,3895,465970
7.74,7.63,-72.51,-72.45,3958,465971
7.74,7.63,-72.47,-72.45,3956,465973
7.68,7.63,-72.54,-72.45,3909,465975
7.66,7.63,-72.45,-72.45,3920,465986
7.65,7.63,-72.39,-72.45,3823,465990
7.65,7.63,-72.42,-72.45,4095,465994
7.70,7.63,-72.38,-72.45,3941,465995
7.73,7.63,-72.38,-72.45,4028,465996
7.77,7.63,-72.29,-72.45,3825,465997
7.75,7.63,-72.27,-72.45,3930,465998
7.71,7.63,-72.37,-72.45,4095,466010
7.69,7.63,-72.42,-72.45,3408,466011
7.68,7.63,-72.41,-72.45,3806,466012
