angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
73,7.67,-72.40,-72.45,3990,256659
7.69,7.67,-72.40,-72.45,3323,256660
7.72,7.67,-72.41,-72.45,3789,256662
7.72,7.67,-72.38,-72.45,3839,256673
7.69,7.67,-72.46,-72.45,3879,256674
7.69,7.67,-72.41,-72.45,3899,256675
7.67,7.67,-72.42,-72.45,3823,256676
7.65,7.67,-72.48,-72.45,3866,256677
7.68,7.67,-72.54,-72.45,3887,256691
7.69,7.67,-72.53,-72.45,3835,256692
7.68,7.67,-72.52,-72.45,4053,256695
7.65,7.67,-72.54,-72.45,4095,256698
7.68,7.67,-72.51,-72.45,3719,256700
7.73,7.67,-72.51,-72.45,3913,256701
7.74,7.67,-72.49,-72.45,4095,256702
7.71,7.67,-72.49,-72.45,3825,256703
7.68,7.67,-72.51,-72.45,3968,256715
7.71,7.67,-72.51,-72.46,3920,256717
7.73,7.67,-72.49,-72.46,3923,256720
7.73,7.67,-72.49,-72.46,3889,256721
7.72,7.67,-72.49,-72.46,3879,256722
7.74,7.67,-72.44,-72.45,3907,256723
7.76,7.67,-72.41,-72.45,3984,256735
7.74,7.67,-72.44,-72.45,3578,256736
7.72,7.67,-72.48,-72.45,3933,256738
7.73,7.67,-72.47,-72.45,3847,256740
7.75,7.67,-72.49,-72.45,3964,256741
7.74,7.67,-72.51,-72.45,3751,256742
7.74,7.67,-72.50,-72.45,3847,256755
7.77,7.67,-72.47,-72.45,3952,256756
7.79,7.67,-72.47,-72.45,3886,256757
7.76,7.67,-72.48,-72.45,3781,256758
7.71,7.67,-72.52,-72.45,3739,256760
7.67,7.67,-72.54,-72.45,3951,256762
7.67,7.67,-72.54,-72.45,3883,256774
7.64,7.67,-72.52,-72.46,3872,256776
7.68,7.67,-72.56,-72.46,4046,256778
7.66,7.67,-72.49,-72.46,3920,256780
7.66,7.67,-72.49,-72.46,3861,256781
7.67,7.67,-72.50,-72.46,4095,256782
7.71,7.67,-72.52,-72.46,4020,256784
7.74,7.67,-72.49,-72.46,4095,256796
7.75,7.67,-72.48,-72.46,3792,256797
7.75,7.67,-72.44,-72.46,3966,256801
7.75,7.67,-72.45,-72.46,3918,256803
7.70,7.67,-72.47,-72.46,3862,256804
7.71,7.67,-72.41,-72.46,3920,256805
7.69,7.67,-72.40,-72.45,3962,256807
7.66,7.67,-72.43,-72.45,3792,256818
7.66,7.67,-72.43,-72.45,4031,256822
7.68,7.67,-72.43,-72.45,3915,256823
7.68,7.67,-72.47,-72.45,4095,256824
7.74,7.67,-72.45,-72.45,3954,256825
7.76,7.67,-72.49,-72.45,3955,256828
7.76,7.67,-72.49,-72.45,3973,256829
7.77,7.67,-72.48,-72.45,3920,256841
7.77,7.67,-72.48,-72.45,3890,256845
7.75,7.67,-72.45,-72.45,3888,256846
7.74,7.67,-72.47,-72.45,3895,256847
7.75,7.67,-72.48,-72.45,3895,256850
7.76,7.67,-72.47,-72.45,3955,256851
7.75,7.67,-72.47,-72.45,4095,256854
7.74,7.67,-72.47,-72.45,3943,256855
7.73,7.67,-72.47,-72.45,3917,256867
7.70,7.67,-72.45,-72.45,3925,256868
7.70,7.67,-72.45,-72.45,3828,256869
7.71,7.67,-72.44,-72.45,4095,256870
7.76,7.67,-72.48,-72.45,3902,256872
7.76,7.67,-72.46,-72.45,3952,256883
7.72,7.67,-72.47,-72.45,3999,256887
7.73,7.67,-72.48,-72.45,3986,256888
7.72,7.67,-72.49,-72.45,4095,256889
7.68,7.67,-72.52,-72.45,3987,256890
7.72,7.67,-72.52,-72.45,3923,256891
7.75,7.67,-72.51,-72.45,3867,256900
7.75,7.67,-72.53,-72.45,3952,256902
7.69,7.67,-72.55,-72.45,3885,256904
7.66,7.67,-72.52,-72.45,3890,256905
7.67,7.67,-72.51,-72.45,3910,256907
7.69,7.67,-72.52,-72.45,3939,256918
7.70,7.67,-72.49,-72.45,3950,256919
7.71,7.67,-72.46,-72.45,3839,256922
7.71,7.67,-72.44,-72.45,3795,256923
7.71,7.67,-72.43,-72.45,3601,256925
7.72,7.67,-72.38,-72.45,3894,256927
7.71,7.67,-72.41,-72.45,3984,256929
7.72,7.67,-72.40,-72.45,3807,256941
7.71,7.67,-72.44,-72.45,3847,256943
7.72,7.67,-72.41,-72.45,3824,256945
7.74,7.67,-72.41,-72.45,3903,256946
7.72,7.67,-72.41,-72.45,3818,256947
7.71,7.67,-72.43,-72.45,3925,256948
7.72,7.67,-72.40,-72.45,3840,256960
7.72,7.67,-72.37,-72.45,3925,256962
7.71,7.67,-72.33,-72.45,3835,256963
7.71,7.67,-72.38,-72.45,3667,256964
7.71,7.67,-72.41,-72.45,3902,256965
7.71,7.67,-72.47,-72.45,3888,256976
7.71,7.67,-72.51,-72.45,3902,256980
7.72,7.67,-72.55,-72.45,3908,256982
7.72,7.67,-72.57,-72.45,3870,256985
7.73,7.67,-72.61,-72.45,3900,256987
7.72,7.67,-72.58,-72.45,3862,256988
7.67,7.67,-72.55,-72.45,3682,256989
7.67,7.67,-72.55,-72.45,4095,256992
7.71,7.67,-72.60,-72.45,3883,256993
7.73,7.67,-72.60,-72.45,3941,257005
