angle_roll,kalman_angle_roll,angle_pitch,kalman_angle_pitch,analogRule,time
7.76,7.66,-72.52,-72.53,3958,206032
7.76,7.66,-72.54,-72.53,3856,206033
7.77,7.66,-72.49,-72.52,4014,206036
7.80,7.66,-72.46,-72.52,4095,206037
7.80,7.66,-72.46,-72.52,4007,206051
7.78,7.66,-72.49,-72.52,3999,206052
7.80,7.66,-72.48,-72.52,4080,206053
7.84,7.66,-72.45,-72.52,3888,206055
7.82,7.66,-72.46,-72.52,3904,206058
7.82,7.66,-72.41,-72.52,3997,206059
7.80,7.66,-72.46,-72.52,3984,206070
7.73,7.66,-72.49,-72.52,4062,206071
7.69,7.66,-72.52,-72.52,3968,206073
7.69,7.66,-72.50,-72.52,4095,206074
7.67,7.66,-72.51,-72.52,3989,206075
7.68,7.66,-72.48,-72.52,3935,206086
7.67,7.66,-72.52,-72.52,3998,206088
7.68,7.66,-72.54,-72.52,3933,206089
7.68,7.66,-72.54,-72.52,4095,206092
7.66,7.66,-72.49,-72.52,4095,206093
7.71,7.66,-72.47,-72.52,4039,206094
7.73,7.66,-72.49,-72.52,3982,206106
7.73,7.66,-72.48,-72.52,3415,206109
7.69,7.66,-72.45,-72.52,3941,206110
7.70,7.66,-72.48,-72.52,4024,206112
7.69,7.66,-72.49,-72.52,4019,206113
7.72,7.66,-72.46,-72.51,4095,206114
7.77,7.66,-72.44,-72.51,3999,206115
7.77,7.66,-72.45,-72.51,3903,206127
7.77,7.66,-72.49,-72.51,3985,206128
7.75,7.66,-72.50,-72.51,3991,206130
7.75,7.66,-72.54,-72.51,3762,206131
7.74,7.66,-72.58,-72.51,3927,206132
7.74,7.66,-72.56,-72.51,3920,206137
7.70,7.66,-72.61,-72.51,4095,206138
7.70,7.66,-72.66,-72.51,4061,206150
7.71,7.66,-72.65,-72.51,3901,206151
7.73,7.66,-72.66,-72.52,3950,206152
7.79,7.66,-72.66,-72.52,4038,206153
7.83,7.66,-72.59,-72.52,3925,206154
7.81,7.66,-72.56,-72.52,4023,206166
7.80,7.66,-72.53,-72.52,4015,206167
7.80,7.66,-72.50,-72.52,3926,206170
7.78,7.66,-72.51,-72.52,3943,206172
7.75,7.66,-72.59,-72.52,4095,206173
7.77,7.66,-72.61,-72.52,3955,206175
7.74,7.66,-72.55,-72.52,3895,206186
7.71,7.66,-72.44,-72.52,3969,206190
7.72,7.66,-72.46,-72.52,4006,206191
7.72,7.66,-72.47,-72.52,4030,206193
7.68,7.66,-72.47,-72.51,3758,206194
7.68,7.66,-72.49,-72.51,3991,206195
7.67,7.66,-72.52,-72.51,3580,206198
7.65,7.66,-72.52,-72.51,4064,206209
7.63,7.66,-72.54,-72.51,3984,206212
7.63,7.66,-72.53,-72.51,4004,206214
7.64,7.66,-72.57,-72.51,3920,206216
7.65,7.66,-72.55,-72.51,3945,206217
7.67,7.66,-72.51,-72.51,4091,206218
7.70,7.66,-72.53,-72.51,3941,206219
7.68,7.66,-72.54,-72.51,4084,206231
7.69,7.66,-72.54,-72.51,3883,206232
